# Wall shear stress
# Time        	patch         	min           	max           
0.5           	topWall	(-3.026136e-09 -6.087994e-07 0.000000e+00)	(6.373967e-09 -6.922009e-09 0.000000e+00)
0.5           	bottomWall	(-4.654773e+01 -8.802732e-01 0.000000e+00)	(-1.758933e+00 1.168868e-09 0.000000e+00)
1             	topWall	(-2.333612e-09 -6.522673e-07 0.000000e+00)	(8.132484e-09 -8.906329e-09 0.000000e+00)
1             	bottomWall	(-4.652613e+01 -8.799732e-01 0.000000e+00)	(-1.132723e+00 2.936516e-08 0.000000e+00)
1.5           	topWall	(-2.416110e-09 -7.792442e-07 0.000000e+00)	(8.827059e-09 -9.698603e-09 0.000000e+00)
1.5           	bottomWall	(-4.652202e+01 -8.799195e-01 0.000000e+00)	(-8.679802e-01 8.042951e-09 0.000000e+00)
2             	topWall	(-2.342859e-09 -8.620939e-07 0.000000e+00)	(9.171261e-09 -1.010555e-08 0.000000e+00)
2             	bottomWall	(-4.652094e+01 -8.799055e-01 0.000000e+00)	(-7.238644e-01 -6.495641e-08 0.000000e+00)
2.5           	topWall	(-2.190250e-09 -9.097972e-07 0.000000e+00)	(9.336005e-09 -1.030008e-08 0.000000e+00)
2.5           	bottomWall	(-4.652059e+01 -8.799010e-01 0.000000e+00)	(-6.386730e-01 -1.530983e-07 0.000000e+00)
3             	topWall	(-2.030760e-09 -9.360536e-07 0.000000e+00)	(9.414712e-09 -1.039115e-08 0.000000e+00)
3             	bottomWall	(-4.652046e+01 -8.798994e-01 0.000000e+00)	(-5.866315e-01 -2.398949e-07 0.000000e+00)
3.5           	topWall	(-1.896764e-09 -9.498688e-07 0.000000e+00)	(9.449461e-09 -1.043106e-08 0.000000e+00)
3.5           	bottomWall	(-4.652041e+01 -8.798987e-01 0.000000e+00)	(-5.545116e-01 -3.201099e-07 0.000000e+00)
4             	topWall	(-1.798871e-09 -9.568956e-07 0.000000e+00)	(9.465900e-09 -1.045002e-08 0.000000e+00)
4             	bottomWall	(-4.652039e+01 -8.798985e-01 0.000000e+00)	(-5.347835e-01 -3.911912e-07 0.000000e+00)
4.5           	topWall	(-1.735054e-09 -9.603786e-07 0.000000e+00)	(9.473457e-09 -1.045873e-08 0.000000e+00)
4.5           	bottomWall	(-4.652038e+01 -8.798984e-01 0.000000e+00)	(-5.228658e-01 -4.511465e-07 0.000000e+00)
5             	topWall	(-1.697182e-09 -9.620725e-07 0.000000e+00)	(9.476931e-09 -1.046273e-08 0.000000e+00)
5             	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.158498e-01 -4.988167e-07 0.000000e+00)
5.5           	topWall	(-1.676053e-09 -9.628772e-07 0.000000e+00)	(9.478522e-09 -1.046457e-08 0.000000e+00)
5.5           	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.118534e-01 -5.342956e-07 0.000000e+00)
6             	topWall	(-1.664878e-09 -9.632536e-07 0.000000e+00)	(9.479258e-09 -1.046540e-08 0.000000e+00)
6             	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.096624e-01 -5.589289e-07 0.000000e+00)
6.5           	topWall	(-1.659260e-09 -9.634263e-07 0.000000e+00)	(9.479584e-09 -1.046579e-08 0.000000e+00)
6.5           	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.085105e-01 -5.748621e-07 0.000000e+00)
7             	topWall	(-1.656577e-09 -9.635047e-07 0.000000e+00)	(9.479712e-09 -1.046594e-08 0.000000e+00)
7             	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.079312e-01 -5.844674e-07 0.000000e+00)
7.5           	topWall	(-1.655358e-09 -9.635392e-07 0.000000e+00)	(9.479774e-09 -1.046601e-08 0.000000e+00)
7.5           	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.076527e-01 -5.898725e-07 0.000000e+00)
8             	topWall	(-1.654820e-09 -9.635540e-07 0.000000e+00)	(9.479800e-09 -1.046604e-08 0.000000e+00)
8             	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.075248e-01 -5.927177e-07 0.000000e+00)
8.5           	topWall	(-1.654591e-09 -9.635601e-07 0.000000e+00)	(9.479811e-09 -1.046605e-08 0.000000e+00)
8.5           	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074685e-01 -5.941223e-07 0.000000e+00)
9             	topWall	(-1.654498e-09 -9.635625e-07 0.000000e+00)	(9.479815e-09 -1.046606e-08 0.000000e+00)
9             	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074452e-01 -5.947549e-07 0.000000e+00)
9.5           	topWall	(-1.654466e-09 -9.635634e-07 0.000000e+00)	(9.479816e-09 -1.046606e-08 0.000000e+00)
9.5           	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074368e-01 -5.949916e-07 0.000000e+00)
10            	topWall	(-1.654454e-09 -9.635637e-07 0.000000e+00)	(9.479817e-09 -1.046606e-08 0.000000e+00)
10            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074338e-01 -5.950832e-07 0.000000e+00)
10.5          	topWall	(-1.654449e-09 -9.635638e-07 0.000000e+00)	(9.479817e-09 -1.046606e-08 0.000000e+00)
10.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074325e-01 -5.951222e-07 0.000000e+00)
11            	topWall	(-1.654447e-09 -9.635639e-07 0.000000e+00)	(9.479817e-09 -1.046606e-08 0.000000e+00)
11            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074318e-01 -5.951482e-07 0.000000e+00)
11.5          	topWall	(-1.654445e-09 -9.635640e-07 0.000000e+00)	(9.479817e-09 -1.046606e-08 0.000000e+00)
11.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074312e-01 -5.951702e-07 0.000000e+00)
12            	topWall	(-1.654443e-09 -9.635640e-07 0.000000e+00)	(9.479817e-09 -1.046606e-08 0.000000e+00)
12            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074307e-01 -5.951881e-07 0.000000e+00)
12.5          	topWall	(-1.654442e-09 -9.635640e-07 0.000000e+00)	(9.479817e-09 -1.046606e-08 0.000000e+00)
12.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074304e-01 -5.952036e-07 0.000000e+00)
13            	topWall	(-1.654440e-09 -9.635641e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
13            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074301e-01 -5.952142e-07 0.000000e+00)
13.5          	topWall	(-1.654440e-09 -9.635641e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
13.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074298e-01 -5.952235e-07 0.000000e+00)
14            	topWall	(-1.654439e-09 -9.635641e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
14            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074296e-01 -5.952309e-07 0.000000e+00)
14.5          	topWall	(-1.654438e-09 -9.635641e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
14.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074295e-01 -5.952373e-07 0.000000e+00)
15            	topWall	(-1.654438e-09 -9.635641e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
15            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074294e-01 -5.952419e-07 0.000000e+00)
15.5          	topWall	(-1.654438e-09 -9.635641e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
15.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074293e-01 -5.952453e-07 0.000000e+00)
16            	topWall	(-1.654437e-09 -9.635641e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
16            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074292e-01 -5.952485e-07 0.000000e+00)
16.5          	topWall	(-1.654437e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
16.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074292e-01 -5.952508e-07 0.000000e+00)
17            	topWall	(-1.654437e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
17            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074291e-01 -5.952526e-07 0.000000e+00)
17.5          	topWall	(-1.654437e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
17.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074291e-01 -5.952540e-07 0.000000e+00)
18            	topWall	(-1.654437e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
18            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074290e-01 -5.952552e-07 0.000000e+00)
18.5          	topWall	(-1.654437e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
18.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074290e-01 -5.952561e-07 0.000000e+00)
19            	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
19            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074290e-01 -5.952570e-07 0.000000e+00)
19.5          	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
19.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074290e-01 -5.952575e-07 0.000000e+00)
20            	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
20            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074290e-01 -5.952580e-07 0.000000e+00)
20.5          	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
20.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074290e-01 -5.952583e-07 0.000000e+00)
21            	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
21            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074290e-01 -5.952586e-07 0.000000e+00)
21.5          	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
21.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074290e-01 -5.952589e-07 0.000000e+00)
22            	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
22            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074289e-01 -5.952591e-07 0.000000e+00)
22.5          	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
22.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074289e-01 -5.952592e-07 0.000000e+00)
23            	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
23            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074289e-01 -5.952593e-07 0.000000e+00)
23.5          	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
23.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074289e-01 -5.952594e-07 0.000000e+00)
24            	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
24            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074289e-01 -5.952595e-07 0.000000e+00)
24.5          	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
24.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074289e-01 -5.952595e-07 0.000000e+00)
25            	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
25            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074289e-01 -5.952596e-07 0.000000e+00)
25.5          	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
25.5          	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074289e-01 -5.952596e-07 0.000000e+00)
26            	topWall	(-1.654436e-09 -9.635642e-07 0.000000e+00)	(9.479818e-09 -1.046606e-08 0.000000e+00)
26            	bottomWall	(-4.652038e+01 -8.798983e-01 0.000000e+00)	(-5.074289e-01 -5.952597e-07 0.000000e+00)
