# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	topWall	3.657031e-02	3.520714e-01	2.738150e-01
0.5           	bottomWall	8.908987e-01	4.583197e+00	1.036822e+00
1             	topWall	4.158525e-02	3.644165e-01	3.087389e-01
1             	bottomWall	7.149332e-01	4.582134e+00	9.198386e-01
1.5           	topWall	4.342917e-02	3.983155e-01	3.407022e-01
1.5           	bottomWall	6.258331e-01	4.581931e+00	8.795171e-01
2             	topWall	4.435411e-02	4.189582e-01	3.600315e-01
2             	bottomWall	5.715210e-01	4.581878e+00	8.619331e-01
2.5           	topWall	4.478865e-02	4.303958e-01	3.713630e-01
2.5           	bottomWall	5.368375e-01	4.581861e+00	8.533836e-01
3             	topWall	4.499053e-02	4.365636e-01	3.779487e-01
3             	bottomWall	5.145011e-01	4.581854e+00	8.490006e-01
3.5           	topWall	4.507969e-02	4.397743e-01	3.817520e-01
3.5           	bottomWall	5.002175e-01	4.581852e+00	8.467033e-01
4             	topWall	4.512173e-02	4.413986e-01	3.839306e-01
4             	bottomWall	4.912387e-01	4.581851e+00	8.454958e-01
4.5           	topWall	4.514104e-02	4.422015e-01	3.851616e-01
4.5           	bottomWall	4.857343e-01	4.581851e+00	8.448680e-01
5             	topWall	4.514991e-02	4.425915e-01	3.858433e-01
5             	bottomWall	4.824644e-01	4.581850e+00	8.445482e-01
5.5           	topWall	4.515397e-02	4.427766e-01	3.862112e-01
5.5           	bottomWall	4.805918e-01	4.581850e+00	8.443896e-01
6             	topWall	4.515581e-02	4.428631e-01	3.864037e-01
6             	bottomWall	4.795621e-01	4.581850e+00	8.443135e-01
6.5           	topWall	4.515668e-02	4.429030e-01	3.865007e-01
6.5           	bottomWall	4.790199e-01	4.581850e+00	8.442782e-01
7             	topWall	4.515702e-02	4.429211e-01	3.865478e-01
7             	bottomWall	4.787470e-01	4.581850e+00	8.442623e-01
7.5           	topWall	4.515718e-02	4.429290e-01	3.865699e-01
7.5           	bottomWall	4.786157e-01	4.581850e+00	8.442555e-01
8             	topWall	4.515725e-02	4.429324e-01	3.865797e-01
8             	bottomWall	4.785554e-01	4.581850e+00	8.442526e-01
8.5           	topWall	4.515727e-02	4.429338e-01	3.865840e-01
8.5           	bottomWall	4.785289e-01	4.581850e+00	8.442514e-01
9             	topWall	4.515728e-02	4.429344e-01	3.865857e-01
9             	bottomWall	4.785179e-01	4.581850e+00	8.442510e-01
9.5           	topWall	4.515729e-02	4.429346e-01	3.865863e-01
9.5           	bottomWall	4.785139e-01	4.581850e+00	8.442508e-01
10            	topWall	4.515729e-02	4.429346e-01	3.865865e-01
10            	bottomWall	4.785125e-01	4.581850e+00	8.442508e-01
10.5          	topWall	4.515729e-02	4.429347e-01	3.865866e-01
10.5          	bottomWall	4.785119e-01	4.581850e+00	8.442508e-01
11            	topWall	4.515729e-02	4.429347e-01	3.865867e-01
11            	bottomWall	4.785116e-01	4.581850e+00	8.442508e-01
11.5          	topWall	4.515729e-02	4.429347e-01	3.865867e-01
11.5          	bottomWall	4.785113e-01	4.581850e+00	8.442507e-01
12            	topWall	4.515729e-02	4.429347e-01	3.865868e-01
12            	bottomWall	4.785111e-01	4.581850e+00	8.442507e-01
12.5          	topWall	4.515729e-02	4.429347e-01	3.865868e-01
12.5          	bottomWall	4.785109e-01	4.581850e+00	8.442507e-01
13            	topWall	4.515729e-02	4.429347e-01	3.865868e-01
13            	bottomWall	4.785108e-01	4.581850e+00	8.442507e-01
13.5          	topWall	4.515729e-02	4.429347e-01	3.865868e-01
13.5          	bottomWall	4.785106e-01	4.581850e+00	8.442507e-01
14            	topWall	4.515729e-02	4.429347e-01	3.865868e-01
14            	bottomWall	4.785106e-01	4.581850e+00	8.442507e-01
14.5          	topWall	4.515729e-02	4.429347e-01	3.865868e-01
14.5          	bottomWall	4.785105e-01	4.581850e+00	8.442507e-01
15            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
15            	bottomWall	4.785104e-01	4.581850e+00	8.442507e-01
15.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
15.5          	bottomWall	4.785104e-01	4.581850e+00	8.442507e-01
16            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
16            	bottomWall	4.785103e-01	4.581850e+00	8.442507e-01
16.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
16.5          	bottomWall	4.785103e-01	4.581850e+00	8.442507e-01
17            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
17            	bottomWall	4.785103e-01	4.581850e+00	8.442507e-01
17.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
17.5          	bottomWall	4.785103e-01	4.581850e+00	8.442507e-01
18            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
18            	bottomWall	4.785103e-01	4.581850e+00	8.442507e-01
18.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
18.5          	bottomWall	4.785103e-01	4.581850e+00	8.442507e-01
19            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
19            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
19.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
19.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
20            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
20            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
20.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
20.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
21            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
21            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
21.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
21.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
22            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
22            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
22.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
22.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
23            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
23            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
23.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
23.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
24            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
24            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
24.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
24.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
25            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
25            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
25.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
25.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
26            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
26            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
26.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
26.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
27            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
27            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
27.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
27.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
28            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
28            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
28.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
28.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
29            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
29            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
29.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
29.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
30            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
30            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
30.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
30.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
31            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
31            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
31.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
31.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
32            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
32            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
32.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
32.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
33            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
33            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
33.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
33.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
34            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
34            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
34.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
34.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
35            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
35            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
35.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
35.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
36            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
36            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
36.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
36.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
37            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
37            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
37.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
37.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
38            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
38            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
38.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
38.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
39            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
39            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
39.5          	topWall	4.515729e-02	4.429347e-01	3.865869e-01
39.5          	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
40            	topWall	4.515729e-02	4.429347e-01	3.865869e-01
40            	bottomWall	4.785102e-01	4.581850e+00	8.442507e-01
