# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0.01          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.941467e+01	(1.330963e-02 7.653773e-04 5.000000e-02)
0.02          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.974420e+01	(8.330788e-03 4.573260e-04 5.000000e-02)
0.03          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.022342e+01	(1.131105e-02 4.573260e-04 5.000000e-02)
0.04          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.072560e+01	(1.330963e-02 4.573260e-04 5.000000e-02)
0.05          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.119917e+01	(1.632522e-02 4.573260e-04 5.000000e-02)
0.06          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.161874e+01	(1.936222e-02 4.573260e-04 5.000000e-02)
0.07          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.197866e+01	(2.139884e-02 4.573260e-04 5.000000e-02)
0.08          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.227450e+01	(2.344510e-02 4.573260e-04 5.000000e-02)
0.09          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.251071e+01	(2.447185e-02 4.573260e-04 5.000000e-02)
0.1           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.269411e+01	(2.653262e-02 4.573260e-04 5.000000e-02)
0.11          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.283294e+01	(2.756666e-02 4.573260e-04 5.000000e-02)
0.12          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.293688e+01	(2.756666e-02 4.573260e-04 5.000000e-02)
0.13          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.301227e+01	(2.860314e-02 4.573260e-04 5.000000e-02)
0.14          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.306769e+01	(2.860314e-02 4.573260e-04 5.000000e-02)
0.15          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.310720e+01	(2.860314e-02 4.573260e-04 5.000000e-02)
