# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0.01          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.941029e+01	(1.458271e-03 7.712287e-04 5.000000e-02)
0.02          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.941876e+01	(1.458271e-03 7.279041e-04 5.000000e-02)
0.03          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.943145e+01	(-5.986152e-04 1.421176e-06 5.000000e-02)
0.04          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.945165e+01	(-5.986152e-04 2.017465e-06 5.000000e-02)
0.05          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.947328e+01	(-5.986152e-04 2.017465e-06 5.000000e-02)
0.06          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.949708e+01	(-5.986152e-04 2.630794e-06 5.000000e-02)
0.07          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.952209e+01	(-5.986152e-04 2.630794e-06 5.000000e-02)
0.08          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.954784e+01	(-5.986152e-04 3.261651e-06 5.000000e-02)
0.09          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.957534e+01	(-5.986152e-04 3.261651e-06 5.000000e-02)
0.1           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.960307e+01	(-5.986152e-04 3.261651e-06 5.000000e-02)
0.11          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.963209e+01	(-5.986152e-04 3.910535e-06 5.000000e-02)
0.12          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.966209e+01	(-5.986152e-04 3.910535e-06 5.000000e-02)
0.13          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.969230e+01	(-5.986152e-04 3.910535e-06 5.000000e-02)
0.14          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.972388e+01	(-5.986152e-04 4.577964e-06 5.000000e-02)
0.15          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.975620e+01	(-5.986152e-04 4.577964e-06 5.000000e-02)
0.16          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.978871e+01	(-5.986152e-04 4.577964e-06 5.000000e-02)
0.17          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.982233e+01	(-5.986152e-04 5.264465e-06 5.000000e-02)
0.18          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.985679e+01	(-5.986152e-04 5.264465e-06 5.000000e-02)
