# Wall shear stress
# Time        	patch         	min           	max           
0.5           	topWall	(-1.951663e-09 -1.217868e-06 0.000000e+00)	(5.115928e-09 -8.806243e-09 0.000000e+00)
0.5           	bottomWall	(-6.293354e+00 -2.866232e-02 0.000000e+00)	(-5.687447e-01 1.529877e-03 0.000000e+00)
1             	topWall	(-7.039963e-10 -8.952239e-07 0.000000e+00)	(4.576213e-09 -9.834227e-09 0.000000e+00)
1             	bottomWall	(-6.293171e+00 -2.866781e-02 0.000000e+00)	(-5.240609e-01 1.983879e-03 0.000000e+00)
1.5           	topWall	(-7.301789e-10 -9.184920e-07 0.000000e+00)	(4.555999e-09 -9.769958e-09 0.000000e+00)
1.5           	bottomWall	(-6.293172e+00 -2.866781e-02 0.000000e+00)	(-5.193370e-01 1.987606e-03 0.000000e+00)
2             	topWall	(-7.340588e-10 -9.197550e-07 0.000000e+00)	(4.554071e-09 -9.767064e-09 0.000000e+00)
2             	bottomWall	(-6.293172e+00 -2.866781e-02 0.000000e+00)	(-5.189087e-01 1.987639e-03 0.000000e+00)
2.5           	topWall	(-7.336628e-10 -9.195950e-07 0.000000e+00)	(4.554270e-09 -9.767583e-09 0.000000e+00)
2.5           	bottomWall	(-6.293172e+00 -2.866781e-02 0.000000e+00)	(-5.188994e-01 1.987639e-03 0.000000e+00)
3             	topWall	(-7.336472e-10 -9.195964e-07 0.000000e+00)	(4.554272e-09 -9.767576e-09 0.000000e+00)
3             	bottomWall	(-6.293172e+00 -2.866781e-02 0.000000e+00)	(-5.188993e-01 1.987639e-03 0.000000e+00)
3.5           	topWall	(-7.336500e-10 -9.195973e-07 0.000000e+00)	(4.554271e-09 -9.767574e-09 0.000000e+00)
3.5           	bottomWall	(-6.293172e+00 -2.866781e-02 0.000000e+00)	(-5.188993e-01 1.987639e-03 0.000000e+00)
4             	topWall	(-7.336497e-10 -9.195972e-07 0.000000e+00)	(4.554271e-09 -9.767574e-09 0.000000e+00)
4             	bottomWall	(-6.293172e+00 -2.866781e-02 0.000000e+00)	(-5.188993e-01 1.987639e-03 0.000000e+00)
4.5           	topWall	(-7.336497e-10 -9.195972e-07 0.000000e+00)	(4.554271e-09 -9.767574e-09 0.000000e+00)
4.5           	bottomWall	(-6.293172e+00 -2.866781e-02 0.000000e+00)	(-5.188993e-01 1.987639e-03 0.000000e+00)
5             	topWall	(-7.336497e-10 -9.195972e-07 0.000000e+00)	(4.554271e-09 -9.767574e-09 0.000000e+00)
5             	bottomWall	(-6.293172e+00 -2.866781e-02 0.000000e+00)	(-5.188993e-01 1.987639e-03 0.000000e+00)
5.5           	topWall	(-7.336497e-10 -9.195972e-07 0.000000e+00)	(4.554271e-09 -9.767574e-09 0.000000e+00)
5.5           	bottomWall	(-6.293172e+00 -2.866781e-02 0.000000e+00)	(-5.188993e-01 1.987639e-03 0.000000e+00)
6             	topWall	(-7.336497e-10 -9.195972e-07 0.000000e+00)	(4.554271e-09 -9.767574e-09 0.000000e+00)
