# Wall shear stress
# Time        	patch         	min           	max           
0.5           	topWall	(-2.590515e-10 -2.992843e-08 0.000000e+00)	(7.723113e-10 -1.070439e-11 0.000000e+00)
0.5           	bottomWall	(-6.026250e+01 -8.974064e-01 0.000000e+00)	(-4.657277e+01 1.853181e-04 0.000000e+00)
1             	topWall	(-3.753732e-10 -4.743786e-08 0.000000e+00)	(1.255906e-09 -8.598416e-10 0.000000e+00)
1             	bottomWall	(-4.926595e+01 -9.201850e-01 0.000000e+00)	(-2.758866e+01 8.717609e-05 0.000000e+00)
1.5           	topWall	(-5.786625e-10 -7.315371e-08 0.000000e+00)	(1.870824e-09 -1.288425e-09 0.000000e+00)
1.5           	bottomWall	(-4.777076e+01 -9.379234e-01 0.000000e+00)	(-2.000049e+01 5.749588e-06 0.000000e+00)
2             	topWall	(-8.229779e-10 -1.059776e-07 0.000000e+00)	(2.636568e-09 -1.812844e-09 0.000000e+00)
2             	bottomWall	(-4.789603e+01 -9.501699e-01 0.000000e+00)	(-1.533105e+01 1.436821e-07 0.000000e+00)
2.5           	topWall	(-1.080754e-09 -1.454129e-07 0.000000e+00)	(3.474816e-09 -2.398135e-09 0.000000e+00)
2.5           	bottomWall	(-4.822456e+01 -9.580384e-01 0.000000e+00)	(-1.227215e+01 1.074713e-07 0.000000e+00)
3             	topWall	(-1.328883e-09 -1.900263e-07 0.000000e+00)	(4.351599e-09 -3.013884e-09 0.000000e+00)
3             	bottomWall	(-4.848758e+01 -9.628400e-01 0.000000e+00)	(-1.010885e+01 8.031956e-08 0.000000e+00)
3.5           	topWall	(-1.553530e-09 -2.378841e-07 0.000000e+00)	(5.225237e-09 -3.629717e-09 0.000000e+00)
3.5           	bottomWall	(-4.865676e+01 -9.656109e-01 0.000000e+00)	(-8.497239e+00 5.894986e-08 0.000000e+00)
4             	topWall	(-1.750295e-09 -2.865332e-07 0.000000e+00)	(6.066963e-09 -4.221983e-09 0.000000e+00)
4             	bottomWall	(-4.875193e+01 -9.670882e-01 0.000000e+00)	(-7.251680e+00 3.374535e-08 0.000000e+00)
4.5           	topWall	(-1.920289e-09 -3.351261e-07 0.000000e+00)	(6.863131e-09 -4.785658e-09 0.000000e+00)
4.5           	bottomWall	(-4.879722e+01 -9.677719e-01 0.000000e+00)	(-6.262348e+00 3.100345e-10 0.000000e+00)
5             	topWall	(-2.066288e-09 -3.824172e-07 0.000000e+00)	(7.606071e-09 -5.313593e-09 0.000000e+00)
5             	bottomWall	(-4.881167e+01 -9.679893e-01 0.000000e+00)	(-5.459780e+00 4.852853e-10 0.000000e+00)
5.5           	topWall	(-2.191376e-09 -4.277070e-07 0.000000e+00)	(8.294840e-09 -5.801502e-09 0.000000e+00)
5.5           	bottomWall	(-4.880842e+01 -9.679479e-01 0.000000e+00)	(-4.797765e+00 6.650870e-10 0.000000e+00)
