# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	topWall	2.136719e-02	2.563506e-01	2.015244e-01
0.5           	bottomWall	8.258244e+00	2.746927e+01	1.358253e+01
1             	topWall	2.254509e-02	2.197848e-01	1.937305e-01
1             	bottomWall	7.927200e+00	2.746887e+01	1.329989e+01
1.5           	topWall	2.245861e-02	2.226230e-01	1.943472e-01
1.5           	bottomWall	7.891390e+00	2.746887e+01	1.328292e+01
2             	topWall	2.245618e-02	2.227760e-01	1.944340e-01
2             	bottomWall	7.888136e+00	2.746887e+01	1.328238e+01
2.5           	topWall	2.245682e-02	2.227567e-01	1.944305e-01
2.5           	bottomWall	7.888065e+00	2.746887e+01	1.328238e+01
3             	topWall	2.245680e-02	2.227568e-01	1.944304e-01
3             	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
3.5           	topWall	2.245680e-02	2.227569e-01	1.944304e-01
3.5           	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
4             	topWall	2.245680e-02	2.227569e-01	1.944304e-01
4             	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
4.5           	topWall	2.245680e-02	2.227569e-01	1.944304e-01
4.5           	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
5             	topWall	2.245680e-02	2.227569e-01	1.944304e-01
5             	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
5.5           	topWall	2.245680e-02	2.227569e-01	1.944304e-01
5.5           	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
6             	topWall	2.245680e-02	2.227569e-01	1.944304e-01
6             	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
6.5           	topWall	2.245680e-02	2.227569e-01	1.944304e-01
6.5           	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
7             	topWall	2.245680e-02	2.227569e-01	1.944304e-01
7             	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
7.5           	topWall	2.245680e-02	2.227569e-01	1.944304e-01
7.5           	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
8             	topWall	2.245680e-02	2.227569e-01	1.944304e-01
8             	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
8.5           	topWall	2.245680e-02	2.227569e-01	1.944304e-01
8.5           	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
9             	topWall	2.245680e-02	2.227569e-01	1.944304e-01
9             	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
9.5           	topWall	2.245680e-02	2.227569e-01	1.944304e-01
9.5           	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
10            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
10            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
10.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
10.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
11            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
11            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
11.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
11.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
12            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
12            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
12.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
12.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
13            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
13            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
13.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
13.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
14            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
14            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
14.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
14.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
15            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
15            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
15.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
15.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
16            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
16            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
16.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
16.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
17            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
17            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
17.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
17.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
18            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
18            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
18.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
18.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
19            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
19            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
19.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
19.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
20            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
20            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
20.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
20.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
21            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
21            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
21.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
21.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
22            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
22            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
22.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
22.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
23            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
23            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
23.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
23.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
24            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
24            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
24.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
24.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
25            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
25            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
25.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
25.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
26            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
26            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
26.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
26.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
27            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
27            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
27.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
27.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
28            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
28            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
28.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
28.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
29            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
29            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
29.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
29.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
30            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
30            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
30.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
30.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
31            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
31            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
31.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
31.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
32            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
32            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
32.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
32.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
33            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
33            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
33.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
33.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
34            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
34            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
34.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
34.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
35            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
35            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
35.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
35.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
36            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
36            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
36.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
36.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
37            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
37            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
37.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
37.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
38            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
38            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
38.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
38.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
39            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
39            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
39.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
39.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
40            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
40            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
40.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
40.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
41            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
41            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
41.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
41.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
42            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
42            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
42.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
42.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
43            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
43            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
43.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
43.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
44            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
44            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
44.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
44.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
45            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
45            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
45.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
45.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
46            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
46            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
46.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
46.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
47            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
47            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
47.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
47.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
48            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
48            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
48.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
48.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
49            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
49            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
49.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
49.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
50            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
50            	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
50.5          	topWall	2.245680e-02	2.227569e-01	1.944304e-01
50.5          	bottomWall	7.888064e+00	2.746887e+01	1.328238e+01
51            	topWall	2.245680e-02	2.227569e-01	1.944304e-01
