# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	topWall	2.940112e-03	1.221416e-01	9.652344e-02
0.5           	bottomWall	1.366056e-01	1.553932e-01	1.385139e-01
1             	topWall	2.006226e-02	1.541107e-01	1.232743e-01
1             	bottomWall	1.051399e-01	1.405029e-01	1.064736e-01
1.5           	topWall	2.466909e-02	1.913743e-01	1.537018e-01
1.5           	bottomWall	8.952046e-02	1.383547e-01	8.970667e-02
2             	topWall	2.929947e-02	2.303401e-01	1.859650e-01
2             	bottomWall	7.837688e-02	1.385360e-01	7.860633e-02
2.5           	topWall	3.374568e-02	2.698161e-01	2.201142e-01
2.5           	bottomWall	7.012331e-02	1.390104e-01	7.044562e-02
3             	topWall	3.786759e-02	3.084457e-01	2.548987e-01
3             	bottomWall	6.364334e-02	1.393889e-01	6.408053e-02
3.5           	topWall	4.158759e-02	3.450203e-01	2.886023e-01
3.5           	bottomWall	5.835001e-02	1.396319e-01	5.892697e-02
4             	topWall	4.488097e-02	3.787653e-01	3.200349e-01
4             	bottomWall	5.390404e-02	1.397684e-01	5.464811e-02
4.5           	topWall	4.780222e-02	4.096303e-01	3.486948e-01
4.5           	bottomWall	5.009226e-02	1.398333e-01	5.103246e-02
5             	topWall	5.038434e-02	4.375838e-01	3.745235e-01
5             	bottomWall	4.677239e-02	1.398540e-01	4.793845e-02
5.5           	topWall	5.266135e-02	4.627746e-01	3.976833e-01
5.5           	bottomWall	4.384515e-02	1.398493e-01	4.526626e-02
6             	topWall	5.466932e-02	4.854308e-01	4.184134e-01
6             	bottomWall	4.123881e-02	1.398315e-01	4.294246e-02
6.5           	topWall	5.642865e-02	5.058052e-01	4.369744e-01
6.5           	bottomWall	3.890015e-02	1.398077e-01	4.091113e-02
7             	topWall	5.799751e-02	5.241375e-01	4.536104e-01
7             	bottomWall	3.678885e-02	1.397824e-01	3.912841e-02
7.5           	topWall	5.938959e-02	5.406474e-01	4.685408e-01
