# ccx tau_xx tau_yy tau_zz
0.000485708 -48.5197 -0.963927 0
0.00145827 -19.7467 -0.00515395 0
0.00243313 -14.3403 -0.00113459 0
0.00341029 -12.031 -0.000545401 0
0.00438975 -10.6252 -0.00035145 0
0.00537153 -9.6315 -0.000255961 0
0.00635563 -8.87352 -0.00019846 0
0.00734204 -8.27009 -0.000159795 0
0.00833079 -7.77473 -0.000132309 0
0.00932187 -7.35815 -0.000111964 0
0.0103153 -7.00119 -9.63659e-05 0
0.011311 -6.6908 -8.40606e-05 0
0.0123092 -6.41768 -7.4144e-05 0
0.0133096 -6.17492 -6.60175e-05 0
0.0143125 -5.95725 -5.92615e-05 0
0.0153177 -5.76063 -5.35728e-05 0
0.0163252 -5.58185 -4.87291e-05 0
0.0173352 -5.41836 -4.45648e-05 0
0.0183475 -5.26809 -4.09538e-05 0
0.0193622 -5.12934 -3.77986e-05 0
0.0203793 -5.00071 -3.50226e-05 0
0.0213988 -4.88102 -3.25652e-05 0
0.0224208 -4.76926 -3.03775e-05 0
0.0234451 -4.66461 -2.84198e-05 0
0.0244718 -4.56632 -2.66598e-05 0
0.025501 -4.47378 -2.50707e-05 0
0.0265326 -4.38645 -2.36302e-05 0
0.0275667 -4.30384 -2.23196e-05 0
0.0286031 -4.22555 -2.11231e-05 0
0.0296421 -4.15122 -2.00273e-05 0
0.0306834 -4.0805 -1.90208e-05 0
0.0317273 -4.01313 -1.80938e-05 0
0.0327736 -3.94884 -1.72378e-05 0
0.0338223 -3.8874 -1.64454e-05 0
0.0348736 -3.8286 -1.57102e-05 0
0.0359273 -3.77226 -1.50266e-05 0
0.0369835 -3.71822 -1.43898e-05 0
0.0380422 -3.66631 -1.37953e-05 0
0.0391034 -3.6164 -1.32395e-05 0
0.0401671 -3.56836 -1.27187e-05 0
0.0412333 -3.52208 -1.22301e-05 0
0.0423021 -3.47746 -1.1771e-05 0
0.0433733 -3.43438 -1.13389e-05 0
0.0444471 -3.39278 -1.09316e-05 0
0.0455234 -3.35255 -1.05473e-05 0
0.0466023 -3.31364 -1.01842e-05 0
0.0476837 -3.27596 -9.84061e-06 0
0.0487676 -3.23945 -9.51519e-06 0
0.0498542 -3.20405 -9.2066e-06 0
0.0509432 -3.16971 -8.91367e-06 0
0.0520349 -3.13638 -8.63531e-06 0
0.0531291 -3.104 -8.37052e-06 0
0.0542259 -3.07253 -8.11842e-06 0
0.0553253 -3.04192 -7.87817e-06 0
0.0564273 -3.01214 -7.64901e-06 0
0.0575319 -2.98316 -7.43024e-06 0
0.0586391 -2.95493 -7.22123e-06 0
0.0597489 -2.92742 -7.02137e-06 0
0.0608614 -2.9006 -6.83012e-06 0
0.0619764 -2.87445 -6.64697e-06 0
0.0630941 -2.84893 -6.47146e-06 0
0.0642144 -2.82403 -6.30316e-06 0
0.0653374 -2.7997 -6.14164e-06 0
0.066463 -2.77595 -5.98656e-06 0
0.0675913 -2.75273 -5.83754e-06 0
0.0687222 -2.73003 -5.69428e-06 0
0.0698559 -2.70783 -5.55646e-06 0
0.0709921 -2.68612 -5.42381e-06 0
0.0721311 -2.66487 -5.29605e-06 0
0.0732728 -2.64407 -5.17295e-06 0
0.0744171 -2.6237 -5.05427e-06 0
0.0755642 -2.60374 -4.93979e-06 0
0.0767139 -2.58419 -4.82932e-06 0
0.0778664 -2.56503 -4.72265e-06 0
0.0790216 -2.54625 -4.61962e-06 0
0.0801795 -2.52783 -4.52005e-06 0
0.0813402 -2.50976 -4.42378e-06 0
0.0825035 -2.49204 -4.33066e-06 0
0.0836697 -2.47464 -4.24056e-06 0
0.0848386 -2.45756 -4.15334e-06 0
0.0860102 -2.4408 -4.06887e-06 0
0.0871846 -2.42433 -3.98703e-06 0
0.0883618 -2.40815 -3.90772e-06 0
0.0895418 -2.39226 -3.83082e-06 0
0.0907245 -2.37664 -3.75624e-06 0
0.0919101 -2.36129 -3.68388e-06 0
0.0930984 -2.34619 -3.61366e-06 0
0.0942895 -2.33135 -3.54547e-06 0
0.0954835 -2.31675 -3.47925e-06 0
0.0966803 -2.30239 -3.41492e-06 0
0.0978799 -2.28826 -3.3524e-06 0
0.0990823 -2.27435 -3.29162e-06 0
0.100288 -2.26067 -3.23252e-06 0
0.101496 -2.24719 -3.17504e-06 0
0.102707 -2.23393 -3.11911e-06 0
0.10392 -2.22086 -3.06467e-06 0
0.105137 -2.20799 -3.01168e-06 0
0.106357 -2.19532 -2.96008e-06 0
0.107579 -2.18283 -2.90981e-06 0
0.108804 -2.17052 -2.86084e-06 0
0.110033 -2.15839 -2.81312e-06 0
0.111264 -2.14643 -2.7666e-06 0
0.112498 -2.13464 -2.72124e-06 0
0.113735 -2.12302 -2.67701e-06 0
0.114975 -2.11156 -2.63386e-06 0
0.116217 -2.10026 -2.59176e-06 0
0.117463 -2.08911 -2.55068e-06 0
0.118712 -2.0781 -2.51057e-06 0
0.119963 -2.06725 -2.47141e-06 0
0.121218 -2.05654 -2.43318e-06 0
0.122475 -2.04597 -2.39583e-06 0
0.123736 -2.03554 -2.35934e-06 0
0.124999 -2.02524 -2.32369e-06 0
0.126266 -2.01507 -2.28884e-06 0
0.127535 -2.00503 -2.25478e-06 0
0.128807 -1.99512 -2.22147e-06 0
0.130083 -1.98532 -2.18891e-06 0
0.131361 -1.97565 -2.15705e-06 0
0.132643 -1.9661 -2.12589e-06 0
0.133927 -1.95666 -2.0954e-06 0
0.135215 -1.94734 -2.06556e-06 0
0.136505 -1.93812 -2.03636e-06 0
0.137799 -1.92902 -2.00777e-06 0
0.139096 -1.92002 -1.97978e-06 0
0.140395 -1.91112 -1.95237e-06 0
0.141698 -1.90233 -1.92552e-06 0
0.143004 -1.89363 -1.89922e-06 0
0.144313 -1.88504 -1.87346e-06 0
0.145625 -1.87654 -1.84821e-06 0
0.14694 -1.86813 -1.82347e-06 0
0.148258 -1.85982 -1.79922e-06 0
0.149579 -1.8516 -1.77544e-06 0
0.150904 -1.84346 -1.75214e-06 0
0.152231 -1.83542 -1.72928e-06 0
0.153562 -1.82746 -1.70686e-06 0
0.154896 -1.81958 -1.68487e-06 0
0.156233 -1.81179 -1.6633e-06 0
0.157573 -1.80408 -1.64214e-06 0
0.158916 -1.79645 -1.62137e-06 0
0.160263 -1.7889 -1.60099e-06 0
0.161613 -1.78142 -1.58099e-06 0
0.162965 -1.77402 -1.56135e-06 0
0.164321 -1.76669 -1.54208e-06 0
0.165681 -1.75944 -1.52315e-06 0
0.167043 -1.75226 -1.50456e-06 0
0.168409 -1.74515 -1.4863e-06 0
0.169778 -1.73811 -1.46837e-06 0
0.17115 -1.73114 -1.45076e-06 0
0.172525 -1.72423 -1.43345e-06 0
0.173904 -1.71739 -1.41645e-06 0
0.175286 -1.71062 -1.39974e-06 0
0.176671 -1.70391 -1.38332e-06 0
0.178059 -1.69726 -1.36718e-06 0
0.179451 -1.69068 -1.35131e-06 0
0.180846 -1.68415 -1.33571e-06 0
0.182244 -1.67769 -1.32037e-06 0
0.183646 -1.67128 -1.30529e-06 0
0.18505 -1.66493 -1.29046e-06 0
0.186459 -1.65864 -1.27588e-06 0
0.18787 -1.65241 -1.26153e-06 0
0.189285 -1.64623 -1.24742e-06 0
0.190703 -1.64011 -1.23354e-06 0
0.192124 -1.63403 -1.21988e-06 0
0.193549 -1.62802 -1.20644e-06 0
0.194978 -1.62205 -1.19322e-06 0
0.196409 -1.61614 -1.18021e-06 0
0.197844 -1.61027 -1.16739e-06 0
0.199282 -1.60446 -1.15479e-06 0
0.200724 -1.59869 -1.14241e-06 0
0.202169 -1.59297 -1.13008e-06 0
0.203618 -1.58731 -1.11839e-06 0
0.20507 -1.58168 -1.10629e-06 0
0.206525 -1.57611 -1.09316e-06 0
0.207903 -1.5709 -1.08298e-06 0
0.209207 -1.56599 -1.07475e-06 0
0.210526 -1.56108 -1.0644e-06 0
0.211859 -1.55617 -1.05372e-06 0
0.213207 -1.55125 -1.04371e-06 0
0.214569 -1.54632 -1.03367e-06 0
0.215947 -1.54139 -1.02376e-06 0
0.217339 -1.53645 -1.0139e-06 0
0.218746 -1.53151 -1.00412e-06 0
0.220168 -1.52656 -9.94389e-07 0
0.221606 -1.5216 -9.84719e-07 0
0.22306 -1.51664 -9.75106e-07 0
0.224529 -1.51168 -9.65548e-07 0
0.226015 -1.50671 -9.56046e-07 0
0.227516 -1.50174 -9.46598e-07 0
0.229034 -1.49676 -9.37206e-07 0
0.230569 -1.49178 -9.27869e-07 0
0.23212 -1.48679 -9.18587e-07 0
0.233687 -1.4818 -9.09361e-07 0
0.235272 -1.47681 -9.00191e-07 0
0.236875 -1.47181 -8.91076e-07 0
0.238494 -1.46682 -8.82018e-07 0
0.240131 -1.46181 -8.73017e-07 0
0.241786 -1.45681 -8.64072e-07 0
0.243459 -1.4518 -8.55184e-07 0
0.24515 -1.44679 -8.46353e-07 0
0.24686 -1.44178 -8.3758e-07 0
0.248588 -1.43677 -8.28864e-07 0
0.250335 -1.43175 -8.20206e-07 0
0.252101 -1.42674 -8.11606e-07 0
0.253886 -1.42172 -8.03064e-07 0
0.25569 -1.4167 -7.9458e-07 0
0.257514 -1.41168 -7.86155e-07 0
0.259358 -1.40666 -7.77788e-07 0
0.261222 -1.40164 -7.69481e-07 0
0.263106 -1.39662 -7.61232e-07 0
0.265011 -1.3916 -7.53042e-07 0
0.266937 -1.38658 -7.44911e-07 0
0.268883 -1.38156 -7.3684e-07 0
0.27085 -1.37654 -7.28827e-07 0
0.272839 -1.37152 -7.20874e-07 0
0.27485 -1.3665 -7.12981e-07 0
0.276882 -1.36148 -7.05147e-07 0
0.278936 -1.35647 -6.97373e-07 0
0.281013 -1.35145 -6.89658e-07 0
0.283113 -1.34644 -6.82003e-07 0
0.285235 -1.34143 -6.74407e-07 0
0.28738 -1.33642 -6.66871e-07 0
0.289548 -1.33142 -6.59395e-07 0
0.291741 -1.32641 -6.51978e-07 0
0.293956 -1.32141 -6.44621e-07 0
0.296196 -1.31641 -6.37323e-07 0
0.298461 -1.31142 -6.30085e-07 0
0.30075 -1.30642 -6.22906e-07 0
0.303064 -1.30143 -6.15787e-07 0
0.305403 -1.29645 -6.08727e-07 0
0.307767 -1.29147 -6.01727e-07 0
0.310157 -1.28649 -5.94785e-07 0
0.312573 -1.28151 -5.87903e-07 0
0.315016 -1.27654 -5.8108e-07 0
0.317485 -1.27158 -5.74315e-07 0
0.31998 -1.26662 -5.6761e-07 0
0.322503 -1.26166 -5.60963e-07 0
0.325053 -1.25671 -5.54374e-07 0
0.327632 -1.25176 -5.47844e-07 0
0.330238 -1.24682 -5.41373e-07 0
0.332872 -1.24188 -5.34959e-07 0
0.335535 -1.23695 -5.28603e-07 0
0.338227 -1.23203 -5.22305e-07 0
0.340948 -1.22711 -5.16065e-07 0
0.343699 -1.2222 -5.09882e-07 0
0.346479 -1.21729 -5.03756e-07 0
0.34929 -1.21239 -4.97688e-07 0
0.352132 -1.2075 -4.91676e-07 0
0.355004 -1.20261 -4.8572e-07 0
0.357908 -1.19773 -4.79822e-07 0
0.360843 -1.19286 -4.73979e-07 0
0.36381 -1.18799 -4.68192e-07 0
0.366809 -1.18313 -4.62462e-07 0
0.369841 -1.17828 -4.56786e-07 0
0.372906 -1.17344 -4.51166e-07 0
0.376004 -1.1686 -4.45601e-07 0
0.379136 -1.16377 -4.40091e-07 0
0.382302 -1.15895 -4.34635e-07 0
0.385502 -1.15414 -4.29234e-07 0
0.388737 -1.14933 -4.23886e-07 0
0.392007 -1.14454 -4.18593e-07 0
0.395313 -1.13975 -4.13353e-07 0
0.398654 -1.13497 -4.08166e-07 0
0.402032 -1.1302 -4.03031e-07 0
0.405447 -1.12544 -3.9795e-07 0
0.408899 -1.12069 -3.92921e-07 0
0.412388 -1.11595 -3.87944e-07 0
0.415916 -1.11121 -3.83018e-07 0
0.419481 -1.10649 -3.78145e-07 0
0.423086 -1.10177 -3.73322e-07 0
0.426729 -1.09707 -3.6855e-07 0
0.430412 -1.09237 -3.63829e-07 0
0.434136 -1.08769 -3.59157e-07 0
0.437899 -1.08301 -3.54536e-07 0
0.441704 -1.07834 -3.49965e-07 0
0.44555 -1.07369 -3.45442e-07 0
0.449437 -1.06904 -3.40969e-07 0
0.453367 -1.06441 -3.36544e-07 0
0.45734 -1.05978 -3.32167e-07 0
0.461356 -1.05517 -3.27839e-07 0
0.465415 -1.05057 -3.23558e-07 0
0.469519 -1.04597 -3.19324e-07 0
0.473667 -1.04139 -3.15137e-07 0
0.477861 -1.03682 -3.10997e-07 0
0.4821 -1.03226 -3.06904e-07 0
0.486385 -1.02771 -3.02856e-07 0
0.490716 -1.02318 -2.98853e-07 0
0.495095 -1.01865 -2.94896e-07 0
0.499521 -1.01414 -2.90984e-07 0
0.503995 -1.00963 -2.87117e-07 0
0.508518 -1.00514 -2.83294e-07 0
0.51309 -1.00066 -2.79514e-07 0
0.517712 -0.996196 -2.75778e-07 0
0.522384 -0.991741 -2.72086e-07 0
0.527107 -0.987297 -2.68436e-07 0
0.531881 -0.982865 -2.64828e-07 0
0.536707 -0.978445 -2.61263e-07 0
0.541586 -0.974038 -2.5774e-07 0
0.546518 -0.969642 -2.54258e-07 0
0.551503 -0.965259 -2.50817e-07 0
0.556542 -0.960889 -2.47417e-07 0
0.561636 -0.956531 -2.44057e-07 0
0.566786 -0.952185 -2.40737e-07 0
0.571991 -0.947852 -2.37457e-07 0
0.577253 -0.943531 -2.34216e-07 0
0.582572 -0.939224 -2.31014e-07 0
0.587949 -0.934929 -2.27851e-07 0
0.593385 -0.930646 -2.24726e-07 0
