# ccx tau_xx tau_yy tau_zz
0.000485708 -48.2616 -0.931068 0
0.00145827 -19.7065 -0.0950128 0
0.00243313 -14.3605 -0.0171483 0
0.00341029 -11.9904 -0.00876182 0
0.00438975 -10.6117 -0.00557051 0
0.00537153 -9.6294 -0.00411576 0
0.00635563 -8.87258 -0.00320546 0
0.00734204 -8.2699 -0.00257929 0
0.00833079 -7.77556 -0.00213676 0
0.00932187 -7.35963 -0.00181055 0
0.0103153 -7.00298 -0.00155974 0
0.011311 -6.69275 -0.00136124 0
0.0123092 -6.41972 -0.00120106 0
0.0133096 -6.17699 -0.00106974 0
0.0143125 -5.95934 -0.000960512 0
0.0153177 -5.76271 -0.000868492 0
0.0163252 -5.5839 -0.000790104 0
0.0173352 -5.42037 -0.000722685 0
0.0183475 -5.27006 -0.000664207 0
0.0193622 -5.13127 -0.000613099 0
0.0203793 -5.00259 -0.000568123 0
0.0213988 -4.88285 -0.000528301 0
0.0224208 -4.77104 -0.000492842 0
0.0234451 -4.66634 -0.000461108 0
0.0244718 -4.56801 -0.000432575 0
0.025501 -4.47542 -0.000406809 0
0.0265326 -4.38804 -0.00038345 0
0.0275667 -4.3054 -0.000362195 0
0.0286031 -4.22707 -0.000342789 0
0.0296421 -4.15269 -0.000325016 0
0.0306834 -4.08194 -0.00030869 0
0.0317273 -4.01453 -0.000293652 0
0.0327736 -3.9502 -0.000279765 0
0.0338223 -3.88872 -0.000266909 0
0.0348736 -3.82989 -0.000254981 0
0.0359273 -3.77352 -0.00024389 0
0.0369835 -3.71945 -0.000233557 0
0.0380422 -3.66751 -0.000223911 0
0.0391034 -3.61757 -0.00021489 0
0.0401671 -3.56951 -0.00020644 0
0.0412333 -3.5232 -0.000198512 0
0.0423021 -3.47855 -0.000191061 0
0.0433733 -3.43545 -0.000184048 0
0.0444471 -3.39382 -0.000177439 0
0.0455234 -3.35358 -0.000171202 0
0.0466023 -3.31464 -0.000165308 0
0.0476837 -3.27694 -0.000159732 0
0.0487676 -3.24041 -0.00015445 0
0.0498542 -3.20499 -0.000149442 0
0.0509432 -3.17064 -0.000144687 0
0.0520349 -3.13728 -0.000140169 0
0.0531291 -3.10488 -0.000135872 0
0.0542259 -3.07339 -0.00013178 0
0.0553253 -3.04277 -0.00012788 0
0.0564273 -3.01298 -0.000124161 0
0.0575319 -2.98398 -0.00012061 0
0.0586391 -2.95573 -0.000117217 0
0.0597489 -2.92821 -0.000113973 0
0.0608614 -2.90138 -0.000110869 0
0.0619764 -2.87521 -0.000107896 0
0.0630941 -2.84968 -0.000105047 0
0.0642144 -2.82476 -0.000102315 0
0.0653374 -2.80043 -9.96932e-05 0
0.066463 -2.77666 -9.71758e-05 0
0.0675913 -2.75343 -9.4757e-05 0
0.0687222 -2.73072 -9.24314e-05 0
0.0698559 -2.70851 -9.01943e-05 0
0.0709921 -2.68679 -8.8041e-05 0
0.0721311 -2.66553 -8.59672e-05 0
0.0732728 -2.64471 -8.39689e-05 0
0.0744171 -2.62433 -8.20424e-05 0
0.0755642 -2.60437 -8.01842e-05 0
0.0767139 -2.58481 -7.83908e-05 0
0.0778664 -2.56564 -7.66594e-05 0
0.0790216 -2.54685 -7.49868e-05 0
0.0801795 -2.52842 -7.33705e-05 0
0.0813402 -2.51035 -7.18078e-05 0
0.0825035 -2.49261 -7.02962e-05 0
0.0836697 -2.47521 -6.88336e-05 0
0.0848386 -2.45812 -6.74177e-05 0
0.0860102 -2.44135 -6.60465e-05 0
0.0871846 -2.42487 -6.4718e-05 0
0.0883618 -2.40869 -6.34306e-05 0
0.0895418 -2.39279 -6.21823e-05 0
0.0907245 -2.37716 -6.09717e-05 0
0.0919101 -2.3618 -5.97971e-05 0
0.0930984 -2.3467 -5.8657e-05 0
0.0942895 -2.33185 -5.75502e-05 0
0.0954835 -2.31725 -5.64753e-05 0
0.0966803 -2.30288 -5.5431e-05 0
0.0978799 -2.28874 -5.44161e-05 0
0.0990823 -2.27483 -5.34295e-05 0
0.100288 -2.26114 -5.24701e-05 0
0.101496 -2.24766 -5.1537e-05 0
0.102707 -2.23439 -5.0629e-05 0
0.10392 -2.22132 -4.97454e-05 0
0.105137 -2.20844 -4.88851e-05 0
0.106357 -2.19576 -4.80475e-05 0
0.107579 -2.18327 -4.72315e-05 0
0.108804 -2.17095 -4.64366e-05 0
0.110033 -2.15882 -4.56619e-05 0
0.111264 -2.14686 -4.49068e-05 0
0.112498 -2.13507 -4.41705e-05 0
0.113735 -2.12344 -4.34525e-05 0
0.114975 -2.11197 -4.2752e-05 0
0.116217 -2.10066 -4.20686e-05 0
0.117463 -2.08951 -4.14017e-05 0
0.118712 -2.0785 -4.07507e-05 0
0.119963 -2.06765 -4.01151e-05 0
0.121218 -2.05693 -3.94944e-05 0
0.122475 -2.04636 -3.88881e-05 0
0.123736 -2.03592 -3.82958e-05 0
0.124999 -2.02562 -3.7717e-05 0
0.126266 -2.01544 -3.71514e-05 0
0.127535 -2.0054 -3.65984e-05 0
0.128807 -1.99548 -3.60578e-05 0
0.130083 -1.98569 -3.55292e-05 0
0.131361 -1.97601 -3.50121e-05 0
0.132643 -1.96646 -3.45062e-05 0
0.133927 -1.95701 -3.40113e-05 0
0.135215 -1.94769 -3.3527e-05 0
0.136505 -1.93847 -3.30529e-05 0
0.137799 -1.92936 -3.25888e-05 0
0.139096 -1.92035 -3.21345e-05 0
0.140395 -1.91146 -3.16895e-05 0
0.141698 -1.90266 -3.12537e-05 0
0.143004 -1.89396 -3.08269e-05 0
0.144313 -1.88536 -3.04086e-05 0
0.145625 -1.87686 -2.99988e-05 0
0.14694 -1.86845 -2.95972e-05 0
0.148258 -1.86014 -2.92035e-05 0
0.149579 -1.85191 -2.88176e-05 0
0.150904 -1.84378 -2.84392e-05 0
0.152231 -1.83573 -2.80682e-05 0
0.153562 -1.82777 -2.77043e-05 0
0.154896 -1.81989 -2.73474e-05 0
0.156233 -1.81209 -2.69973e-05 0
0.157573 -1.80438 -2.66537e-05 0
0.158916 -1.79675 -2.63166e-05 0
0.160263 -1.78919 -2.59858e-05 0
0.161613 -1.78171 -2.56611e-05 0
0.162965 -1.77431 -2.53424e-05 0
0.164321 -1.76698 -2.50294e-05 0
0.165681 -1.75973 -2.47222e-05 0
0.167043 -1.75254 -2.44205e-05 0
0.168409 -1.74543 -2.41241e-05 0
0.169778 -1.73839 -2.38331e-05 0
0.17115 -1.73142 -2.35471e-05 0
0.172525 -1.72451 -2.32662e-05 0
0.173904 -1.71767 -2.29902e-05 0
0.175286 -1.71089 -2.2719e-05 0
0.176671 -1.70418 -2.24524e-05 0
0.178059 -1.69753 -2.21904e-05 0
0.179451 -1.69094 -2.19329e-05 0
0.180846 -1.68441 -2.16797e-05 0
0.182244 -1.67795 -2.14308e-05 0
0.183646 -1.67154 -2.1186e-05 0
0.18505 -1.66519 -2.09453e-05 0
0.186459 -1.6589 -2.07085e-05 0
0.18787 -1.65266 -2.04757e-05 0
0.189285 -1.64648 -2.02466e-05 0
0.190703 -1.64035 -2.00212e-05 0
0.192124 -1.63428 -1.97995e-05 0
0.193549 -1.62826 -1.95814e-05 0
0.194978 -1.62229 -1.93667e-05 0
0.196409 -1.61638 -1.91555e-05 0
0.197844 -1.61051 -1.89476e-05 0
0.199282 -1.60469 -1.8743e-05 0
0.200724 -1.59893 -1.8542e-05 0
0.202169 -1.59321 -1.83422e-05 0
0.203618 -1.58754 -1.81511e-05 0
0.20507 -1.58191 -1.79588e-05 0
0.206525 -1.57634 -1.77379e-05 0
0.207903 -1.57112 -1.75745e-05 0
0.209207 -1.56622 -1.745e-05 0
0.210526 -1.56131 -1.7275e-05 0
0.211859 -1.55639 -1.71027e-05 0
0.213207 -1.55147 -1.69396e-05 0
0.214569 -1.54654 -1.67771e-05 0
0.215947 -1.54161 -1.6616e-05 0
0.217339 -1.53667 -1.64561e-05 0
0.218746 -1.53172 -1.62972e-05 0
0.220168 -1.52677 -1.61394e-05 0
0.221606 -1.52182 -1.59824e-05 0
0.22306 -1.51686 -1.58264e-05 0
0.224529 -1.51189 -1.56712e-05 0
0.226015 -1.50692 -1.5517e-05 0
0.227516 -1.50195 -1.53637e-05 0
0.229034 -1.49697 -1.52112e-05 0
0.230569 -1.49198 -1.50597e-05 0
0.23212 -1.487 -1.4909e-05 0
0.233687 -1.48201 -1.47593e-05 0
0.235272 -1.47701 -1.46104e-05 0
