# ccx y+
0.000485708 0.139435
0.00145827 0.0889509
0.00243313 0.075802
0.00341029 0.069431
0.00438975 0.0652484
0.00537153 0.0621225
0.00635563 0.059628
0.00734204 0.0575648
0.00833079 0.0558142
0.00932187 0.0542983
0.0103153 0.0529649
0.011311 0.0517775
0.0123092 0.0507097
0.0133096 0.0497414
0.0143125 0.0488568
0.0153177 0.0480438
0.0163252 0.0472924
0.0173352 0.0465946
0.0183475 0.045944
0.0193622 0.0453349
0.0203793 0.0447629
0.0213988 0.0442239
0.0224208 0.0437147
0.0234451 0.0432324
0.0244718 0.0427745
0.025501 0.0423389
0.0265326 0.0419236
0.0275667 0.041527
0.0286031 0.0411475
0.0296421 0.040784
0.0306834 0.0404351
0.0317273 0.0400999
0.0327736 0.0397774
0.0338223 0.0394668
0.0348736 0.0391672
0.0359273 0.0388779
0.0369835 0.0385984
0.0380422 0.038328
0.0391034 0.0380663
0.0401671 0.0378126
0.0412333 0.0375666
0.0423021 0.0373278
0.0433733 0.037096
0.0444471 0.0368706
0.0455234 0.0366513
0.0466023 0.036438
0.0476837 0.0362302
0.0487676 0.0360278
0.0498542 0.0358304
0.0509432 0.0356379
0.0520349 0.03545
0.0531291 0.0352665
0.0542259 0.0350873
0.0553253 0.0349121
0.0564273 0.0347408
0.0575319 0.0345733
0.0586391 0.0344093
0.0597489 0.0342487
0.0608614 0.0340915
0.0619764 0.0339375
0.0630941 0.0337865
0.0642144 0.0336385
0.0653374 0.0334933
0.066463 0.0333509
0.0675913 0.0332111
0.0687222 0.0330739
0.0698559 0.0329392
0.0709921 0.0328068
0.0721311 0.0326768
0.0732728 0.032549
0.0744171 0.0324234
0.0755642 0.0322999
0.0767139 0.0321784
0.0778664 0.0320589
0.0790216 0.0319413
0.0801795 0.0318256
0.0813402 0.0317116
0.0825035 0.0315994
0.0836697 0.0314889
0.0848386 0.0313801
0.0860102 0.0312729
0.0871846 0.0311672
0.0883618 0.031063
0.0895418 0.0309604
0.0907245 0.0308591
0.0919101 0.0307593
0.0930984 0.0306608
0.0942895 0.0305637
0.0954835 0.0304678
0.0966803 0.0303733
0.0978799 0.0302799
0.0990823 0.0301878
0.100288 0.0300968
0.101496 0.030007
0.102707 0.0299183
0.10392 0.0298307
0.105137 0.0297441
0.106357 0.0296586
0.107579 0.0295741
0.108804 0.0294906
0.110033 0.0294081
0.111264 0.0293265
0.112498 0.0292459
0.113735 0.0291662
0.114975 0.0290873
0.116217 0.0290094
0.117463 0.0289322
0.118712 0.028856
0.119963 0.0287805
0.121218 0.0287059
0.122475 0.028632
0.123736 0.0285589
0.124999 0.0284866
0.126266 0.028415
0.127535 0.0283441
0.128807 0.0282739
0.130083 0.0282045
0.131361 0.0281357
0.132643 0.0280676
0.133927 0.0280001
0.135215 0.0279333
0.136505 0.0278671
0.137799 0.0278016
0.139096 0.0277367
0.140395 0.0276723
0.141698 0.0276086
0.143004 0.0275454
0.144313 0.0274828
0.145625 0.0274208
0.14694 0.0273593
0.148258 0.0272984
0.149579 0.027238
0.150904 0.0271781
0.152231 0.0271187
0.153562 0.0270599
0.154896 0.0270015
0.156233 0.0269436
0.157573 0.0268862
0.158916 0.0268293
0.160263 0.0267728
0.161613 0.0267168
0.162965 0.0266613
0.164321 0.0266062
0.165681 0.0265515
0.167043 0.0264973
0.168409 0.0264435
0.169778 0.0263901
0.17115 0.0263371
0.172525 0.0262845
0.173904 0.0262323
0.175286 0.0261806
0.176671 0.0261292
0.178059 0.0260781
0.179451 0.0260275
0.180846 0.0259772
0.182244 0.0259273
0.183646 0.0258778
0.18505 0.0258286
0.186459 0.0257797
0.18787 0.0257312
0.189285 0.0256831
0.190703 0.0256353
0.192124 0.0255878
0.193549 0.0255406
0.194978 0.0254938
0.196409 0.0254473
0.197844 0.025401
0.199282 0.0253551
0.200724 0.0253095
0.202169 0.0252643
0.203618 0.0252193
0.20507 0.0251745
0.206525 0.0251301
0.207903 0.0250886
0.209207 0.0250494
0.210526 0.0250101
0.211859 0.0249707
0.213207 0.0249312
0.214569 0.0248915
0.215947 0.0248518
0.217339 0.024812
0.218746 0.024772
0.220168 0.024732
0.221606 0.0246918
0.22306 0.0246515
0.224529 0.0246111
0.226015 0.0245707
0.227516 0.0245301
0.229034 0.0244894
0.230569 0.0244486
0.23212 0.0244077
0.233687 0.0243667
0.235272 0.0243256
0.236875 0.0242845
0.238494 0.0242432
0.240131 0.0242018
0.241786 0.0241604
0.243459 0.0241188
0.24515 0.0240772
0.24686 0.0240354
0.248588 0.0239936
0.250335 0.0239517
0.252101 0.0239097
0.253886 0.0238676
0.25569 0.0238255
0.257514 0.0237832
0.259358 0.0237409
0.261222 0.0236985
0.263106 0.023656
0.265011 0.0236134
0.266937 0.0235708
0.268883 0.0235281
0.27085 0.0234853
0.272839 0.0234425
0.27485 0.0233995
0.276882 0.0233565
0.278936 0.0233135
0.281013 0.0232703
0.283113 0.0232271
0.285235 0.0231839
0.28738 0.0231406
0.289548 0.0230972
0.291741 0.0230537
0.293956 0.0230102
0.296196 0.0229667
0.298461 0.022923
0.30075 0.0228794
0.303064 0.0228356
0.305403 0.0227918
0.307767 0.022748
0.310157 0.0227041
0.312573 0.0226602
0.315016 0.0226162
0.317485 0.0225722
0.31998 0.0225281
0.322503 0.022484
0.325053 0.0224398
0.327632 0.0223956
0.330238 0.0223514
0.332872 0.0223071
0.335535 0.0222628
0.338227 0.0222184
0.340948 0.022174
0.343699 0.0221296
0.346479 0.0220851
0.34929 0.0220406
0.352132 0.0219961
0.355004 0.0219515
0.357908 0.0219069
0.360843 0.0218623
0.36381 0.0218177
0.366809 0.021773
0.369841 0.0217283
0.372906 0.0216836
0.376004 0.0216389
0.379136 0.0215941
0.382302 0.0215494
0.385502 0.0215046
0.388737 0.0214598
0.392007 0.021415
0.395313 0.0213701
0.398654 0.0213253
0.402032 0.0212804
0.405447 0.0212355
0.408899 0.0211907
0.412388 0.0211458
0.415916 0.0211009
0.419481 0.021056
0.423086 0.0210111
0.426729 0.0209661
0.430412 0.0209212
0.434136 0.0208763
0.437899 0.0208314
0.441704 0.0207865
0.44555 0.0207415
0.449437 0.0206966
0.453367 0.0206517
0.45734 0.0206068
0.461356 0.0205619
0.465415 0.020517
0.469519 0.0204721
0.473667 0.0204272
0.477861 0.0203823
0.4821 0.0203375
0.486385 0.0202926
0.490716 0.0202478
0.495095 0.020203
0.499521 0.0201581
0.503995 0.0201133
0.508518 0.0200686
0.51309 0.0200238
0.517712 0.019979
0.522384 0.0199343
0.527107 0.0198896
0.531881 0.0198449
0.536707 0.0198002
0.541586 0.0197556
0.546518 0.019711
0.551503 0.0196664
0.556542 0.0196218
0.561636 0.0195772
0.566786 0.0195327
0.571991 0.0194882
0.577253 0.0194438
0.582572 0.0193993
0.587949 0.0193549
0.593385 0.0193105
0.59888 0.0192662
0.604434 0.0192219
0.610048 0.0191776
0.615724 0.0191334
0.621462 0.0190891
0.627261 0.019045
0.633124 0.0190008
0.639051 0.0189567
0.645042 0.0189127
0.651098 0.0188686
0.657219 0.0188247
0.663408 0.0187807
0.669664 0.0187368
0.675987 0.0186929
0.68238 0.0186491
0.688842 0.0186053
0.695374 0.0185616
0.701977 0.0185179
0.708652 0.0184743
0.715399 0.0184307
0.72222 0.0183871
0.729115 0.0183436
0.736085 0.0183001
0.74313 0.0182567
0.750252 0.0182134
0.757452 0.0181701
0.76473 0.0181268
0.772087 0.0180836
0.779524 0.0180404
0.787042 0.0179973
0.794641 0.0179542
0.802323 0.0179112
0.810089 0.0178683
0.817939 0.0178254
0.825874 0.0177825
0.833896 0.0177397
0.842004 0.017697
0.850201 0.0176543
0.858487 0.0176117
0.866863 0.0175691
0.87533 0.0175266
0.883889 0.0174842
0.892542 0.0174418
0.901288 0.0173994
0.910129 0.0173572
0.919066 0.017315
0.928101 0.0172728
0.93826 0.0172259
0.949496 0.017175
0.960731 0.0171248
