# ccx y+
0.000485708 4.58185
0.00145827 3.01384
0.00243313 2.53621
0.00341029 2.321
0.00438975 2.18431
0.00537153 2.08431
0.00635563 2.00231
0.00734204 1.93341
0.00833079 1.87497
0.00932187 1.82441
0.0103153 1.77984
0.011311 1.74007
0.0123092 1.70427
0.0133096 1.67177
0.0143125 1.64207
0.0153177 1.61476
0.0163252 1.58951
0.0173352 1.56605
0.0183475 1.54416
0.0193622 1.52368
0.0203793 1.50443
0.0213988 1.48629
0.0224208 1.46915
0.0234451 1.45292
0.0244718 1.4375
0.025501 1.42284
0.0265326 1.40885
0.0275667 1.3955
0.0286031 1.38272
0.0296421 1.37048
0.0306834 1.35873
0.0317273 1.34744
0.0327736 1.33658
0.0338223 1.32612
0.0348736 1.31603
0.0359273 1.30629
0.0369835 1.29688
0.0380422 1.28777
0.0391034 1.27895
0.0401671 1.27041
0.0412333 1.26213
0.0423021 1.25409
0.0433733 1.24628
0.0444471 1.23869
0.0455234 1.2313
0.0466023 1.22412
0.0476837 1.21712
0.0487676 1.21031
0.0498542 1.20366
0.0509432 1.19718
0.0520349 1.19085
0.0531291 1.18467
0.0542259 1.17864
0.0553253 1.17274
0.0564273 1.16697
0.0575319 1.16133
0.0586391 1.15581
0.0597489 1.15041
0.0608614 1.14511
0.0619764 1.13993
0.0630941 1.13485
0.0642144 1.12986
0.0653374 1.12498
0.066463 1.12018
0.0675913 1.11548
0.0687222 1.11086
0.0698559 1.10632
0.0709921 1.10187
0.0721311 1.09749
0.0732728 1.09319
0.0744171 1.08896
0.0755642 1.08481
0.0767139 1.08072
0.0778664 1.0767
0.0790216 1.07274
0.0801795 1.06884
0.0813402 1.06501
0.0825035 1.06123
0.0836697 1.05752
0.0848386 1.05385
0.0860102 1.05025
0.0871846 1.04669
0.0883618 1.04319
0.0895418 1.03973
0.0907245 1.03632
0.0919101 1.03297
0.0930984 1.02965
0.0942895 1.02638
0.0954835 1.02316
0.0966803 1.01998
0.0978799 1.01684
0.0990823 1.01374
0.100288 1.01068
0.101496 1.00765
0.102707 1.00467
0.10392 1.00172
0.105137 0.998811
0.106357 0.995935
0.107579 0.993093
0.108804 0.990284
0.110033 0.987508
0.111264 0.984764
0.112498 0.982052
0.113735 0.97937
0.114975 0.976718
0.116217 0.974096
0.117463 0.971503
0.118712 0.968937
0.119963 0.966399
0.121218 0.963888
0.122475 0.961404
0.123736 0.958946
0.124999 0.956513
0.126266 0.954105
0.127535 0.951721
0.128807 0.949361
0.130083 0.947025
0.131361 0.944712
0.132643 0.942422
0.133927 0.940154
0.135215 0.937907
0.136505 0.935682
0.137799 0.933478
0.139096 0.931294
0.140395 0.929131
0.141698 0.926988
0.143004 0.924864
0.144313 0.922759
0.145625 0.920674
0.14694 0.918606
0.148258 0.916557
0.149579 0.914526
0.150904 0.912513
0.152231 0.910516
0.153562 0.908537
0.154896 0.906575
0.156233 0.904629
0.157573 0.902699
0.158916 0.900785
0.160263 0.898887
0.161613 0.897004
0.162965 0.895137
0.164321 0.893284
0.165681 0.891446
0.167043 0.889623
0.168409 0.887814
0.169778 0.886018
0.17115 0.884237
0.172525 0.88247
0.173904 0.880715
0.175286 0.878974
0.176671 0.877247
0.178059 0.875531
0.179451 0.873829
0.180846 0.872139
0.182244 0.870461
0.183646 0.868796
0.18505 0.867142
0.186459 0.865501
0.18787 0.86387
0.189285 0.862252
0.190703 0.860644
0.192124 0.859048
0.193549 0.857463
0.194978 0.855888
0.196409 0.854324
0.197844 0.852771
0.199282 0.851228
0.200724 0.849696
0.202169 0.848173
0.203618 0.846661
0.20507 0.845158
0.206525 0.843666
0.207903 0.842268
0.209207 0.840952
0.210526 0.83963
0.211859 0.838305
0.213207 0.836978
0.214569 0.835646
0.215947 0.834311
0.217339 0.832972
0.218746 0.831629
0.220168 0.830283
0.221606 0.828933
0.22306 0.827579
0.224529 0.826222
0.226015 0.824862
0.227516 0.823498
0.229034 0.822131
0.230569 0.82076
0.23212 0.819386
0.233687 0.818008
0.235272 0.816628
0.236875 0.815244
0.238494 0.813857
0.240131 0.812466
0.241786 0.811073
0.243459 0.809677
0.24515 0.808277
0.24686 0.806875
0.248588 0.805469
0.250335 0.804061
0.252101 0.80265
0.253886 0.801236
0.25569 0.799819
0.257514 0.798399
0.259358 0.796977
0.261222 0.795552
0.263106 0.794125
0.265011 0.792694
0.266937 0.791262
0.268883 0.789827
0.27085 0.788389
0.272839 0.786949
0.27485 0.785507
0.276882 0.784062
0.278936 0.782615
0.281013 0.781166
0.283113 0.779714
0.285235 0.778261
0.28738 0.776805
0.289548 0.775347
0.291741 0.773888
0.293956 0.772426
0.296196 0.770962
0.298461 0.769497
0.30075 0.768029
0.303064 0.76656
0.305403 0.765089
0.307767 0.763616
0.310157 0.762141
0.312573 0.760665
0.315016 0.759188
0.317485 0.757708
0.31998 0.756227
0.322503 0.754745
0.325053 0.753261
0.327632 0.751776
0.330238 0.75029
0.332872 0.748802
0.335535 0.747313
0.338227 0.745822
0.340948 0.744331
0.343699 0.742838
0.346479 0.741345
0.34929 0.73985
0.352132 0.738354
0.355004 0.736857
0.357908 0.735359
0.360843 0.733861
0.36381 0.732361
0.366809 0.730861
0.369841 0.729359
0.372906 0.727857
0.376004 0.726355
0.379136 0.724851
0.382302 0.723348
0.385502 0.721843
0.388737 0.720338
0.392007 0.718832
0.395313 0.717326
0.398654 0.71582
0.402032 0.714313
0.405447 0.712806
0.408899 0.711298
0.412388 0.70979
0.415916 0.708282
0.419481 0.706774
0.423086 0.705265
0.426729 0.703757
0.430412 0.702248
0.434136 0.700739
0.437899 0.69923
0.441704 0.697721
0.44555 0.696213
0.449437 0.694704
0.453367 0.693195
0.45734 0.691687
0.461356 0.690178
0.465415 0.68867
0.469519 0.687163
0.473667 0.685655
0.477861 0.684148
0.4821 0.682641
0.486385 0.681134
0.490716 0.679628
0.495095 0.678123
0.499521 0.676617
0.503995 0.675113
0.508518 0.673609
0.51309 0.672105
0.517712 0.670602
0.522384 0.6691
0.527107 0.667598
0.531881 0.666097
0.536707 0.664597
0.541586 0.663098
0.546518 0.661599
0.551503 0.660101
0.556542 0.658604
0.561636 0.657108
0.566786 0.655613
0.571991 0.654119
0.577253 0.652625
0.582572 0.651133
0.587949 0.649642
0.593385 0.648151
0.59888 0.646662
0.604434 0.645174
0.610048 0.643687
0.615724 0.642201
0.621462 0.640717
0.627261 0.639233
0.633124 0.637751
0.639051 0.63627
0.645042 0.63479
0.651098 0.633312
0.657219 0.631835
0.663408 0.630359
0.669664 0.628884
0.675987 0.627411
0.68238 0.62594
0.688842 0.62447
0.695374 0.623001
0.701977 0.621534
0.708652 0.620068
0.715399 0.618604
0.72222 0.617142
0.729115 0.615681
0.736085 0.614221
0.74313 0.612763
0.750252 0.611307
0.757452 0.609853
0.76473 0.6084
0.772087 0.606949
0.779524 0.605499
0.787042 0.604052
0.794641 0.602606
0.802323 0.601162
0.810089 0.599719
0.817939 0.598279
0.825874 0.59684
0.833896 0.595403
0.842004 0.593968
0.850201 0.592535
0.858487 0.591104
0.866863 0.589674
0.87533 0.588247
0.883889 0.586822
0.892542 0.585398
0.901288 0.583977
0.910129 0.582558
0.919066 0.581141
0.928101 0.579724
0.93826 0.578151
0.949496 0.576439
0.960731 0.574754
0.971966 0.573091
0.983202 0.571452
0.994437 0.569835
1.00567 0.568242
1.01691 0.56667
1.02814 0.56512
1.03938 0.563591
1.05061 0.562083
1.06185 0.560594
1.07308 0.559125
1.08432 0.557676
1.09555 0.556245
1.10679 0.554832
1.11803 0.553437
1.12926 0.55206
1.1405 0.5507
1.15173 0.549356
1.16297 0.548029
1.1742 0.546717
1.18544 0.545421
1.19667 0.544141
1.20791 0.542875
1.21914 0.541624
1.23038 0.540388
1.24161 0.539165
1.25285 0.537956
1.26409 0.536761
1.27532 0.535579
1.28656 0.53441
1.29779 0.533253
1.30903 0.532109
1.32026 0.530978
1.3315 0.529858
1.34273 0.52875
1.35397 0.527653
1.3652 0.526568
1.37644 0.525494
1.38767 0.524431
1.39891 0.523378
1.41014 0.522336
1.42138 0.521305
1.43262 0.520283
1.44385 0.519271
1.45509 0.51827
1.46632 0.517277
1.47756 0.516295
1.48879 0.515321
1.50003 0.514357
1.51126 0.513401
1.5225 0.512455
1.53373 0.511517
1.54497 0.510587
1.5562 0.509666
1.56744 0.508753
1.57867 0.507849
1.58991 0.506952
1.60115 0.506063
1.61238 0.505182
1.62362 0.504308
1.63485 0.503442
1.64609 0.502583
1.65732 0.501731
1.66856 0.500887
1.67979 0.500049
1.69103 0.499219
1.70226 0.498395
1.7135 0.497577
1.72473 0.496767
1.73597 0.495962
1.7472 0.495165
1.75844 0.494373
1.76968 0.493587
1.78091 0.492808
1.79215 0.492034
1.80338 0.491266
1.81462 0.490503
1.82585 0.489747
1.83709 0.488995
1.84832 0.488249
1.85956 0.487508
1.87079 0.486771
1.88203 0.486039
1.89326 0.485312
1.9045 0.484588
1.91573 0.483868
1.92697 0.48315
1.93821 0.482425
1.94944 0.481726
1.96068 0.481043
1.97191 0.479868
1.98315 0.480533
1.99438 0.47851
