# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0.01          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.941026e+01	(1.458271e-03 7.712287e-04 5.000000e-02)
0.02          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.941869e+01	(1.458271e-03 7.279041e-04 5.000000e-02)
0.03          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.943133e+01	(-5.986152e-04 1.421176e-06 5.000000e-02)
0.04          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.945140e+01	(-5.986152e-04 2.017465e-06 5.000000e-02)
0.05          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.947294e+01	(-5.986152e-04 2.017465e-06 5.000000e-02)
0.06          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.949658e+01	(-5.986152e-04 2.630794e-06 5.000000e-02)
0.07          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.952149e+01	(-5.986152e-04 2.630794e-06 5.000000e-02)
0.08          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.954705e+01	(-5.986152e-04 3.261651e-06 5.000000e-02)
0.09          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.957443e+01	(-5.986152e-04 3.261651e-06 5.000000e-02)
0.1           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.960203e+01	(-5.986152e-04 3.261651e-06 5.000000e-02)
0.11          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.963080e+01	(-5.986152e-04 3.910535e-06 5.000000e-02)
0.12          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.966066e+01	(-5.986152e-04 3.910535e-06 5.000000e-02)
0.13          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.969073e+01	(-5.986152e-04 3.910535e-06 5.000000e-02)
0.14          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.972201e+01	(-5.986152e-04 4.577964e-06 5.000000e-02)
0.15          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.975417e+01	(-5.986152e-04 4.577964e-06 5.000000e-02)
0.16          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.978651e+01	(-5.986152e-04 4.577964e-06 5.000000e-02)
0.17          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.981979e+01	(-5.986152e-04 5.264465e-06 5.000000e-02)
0.18          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.985407e+01	(-5.986152e-04 5.264465e-06 5.000000e-02)
0.19          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.988850e+01	(-5.986152e-04 5.264465e-06 5.000000e-02)
0.2           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.992338e+01	(-5.986152e-04 5.970584e-06 5.000000e-02)
0.21          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.995960e+01	(-5.986152e-04 5.970584e-06 5.000000e-02)
0.22          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.999595e+01	(-5.986152e-04 5.970584e-06 5.000000e-02)
0.23          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.003240e+01	(-5.986152e-04 5.970584e-06 5.000000e-02)
