# Wall shear stress
# Time        	patch         	min           	max           
0.5           	topWall	(-7.603084e-09 -2.542857e-06 0.000000e+00)	(1.300038e-08 -2.754425e-08 0.000000e+00)
0.5           	bottomWall	(-1.199866e+01 -2.863778e-02 0.000000e+00)	(-1.758342e+00 3.196054e-02 0.000000e+00)
1             	topWall	(-1.412276e-08 -5.607872e-06 0.000000e+00)	(1.376311e-08 -2.614421e-08 0.000000e+00)
1             	bottomWall	(-1.157223e+01 -2.863224e-02 0.000000e+00)	(-2.151263e+00 3.851196e-02 0.000000e+00)
1.5           	topWall	(-7.206481e-09 -5.494852e-06 0.000000e+00)	(1.146969e-08 -2.461152e-08 0.000000e+00)
1.5           	bottomWall	(-1.139535e+01 -2.861775e-02 0.000000e+00)	(-4.120281e+00 4.828274e-02 0.000000e+00)
2             	topWall	(-3.189911e-10 -8.759420e-06 0.000000e+00)	(1.234780e-08 -2.409679e-08 0.000000e+00)
2             	bottomWall	(-1.150269e+01 -2.861988e-02 0.000000e+00)	(-4.122095e+00 4.796721e-02 0.000000e+00)
2.5           	topWall	(1.249400e-09 -4.710689e-06 0.000000e+00)	(1.101344e-08 -2.362745e-08 0.000000e+00)
2.5           	bottomWall	(-1.150226e+01 -2.861992e-02 0.000000e+00)	(-4.119466e+00 4.601302e-02 0.000000e+00)
3             	topWall	(-5.096495e-11 -3.463189e-06 0.000000e+00)	(1.099207e-08 -2.357601e-08 0.000000e+00)
3             	bottomWall	(-1.150255e+01 -2.861990e-02 0.000000e+00)	(-4.118881e+00 4.567676e-02 0.000000e+00)
3.5           	topWall	(-4.100249e-10 -3.278639e-06 0.000000e+00)	(1.098553e-08 -2.356059e-08 0.000000e+00)
3.5           	bottomWall	(-1.150281e+01 -2.861990e-02 0.000000e+00)	(-4.118911e+00 4.564592e-02 0.000000e+00)
4             	topWall	(-4.668123e-10 -3.251165e-06 0.000000e+00)	(1.098529e-08 -2.355966e-08 0.000000e+00)
4             	bottomWall	(-1.150258e+01 -2.861990e-02 0.000000e+00)	(-4.118911e+00 4.566491e-02 0.000000e+00)
4.5           	topWall	(-4.931125e-10 -3.239847e-06 0.000000e+00)	(1.098529e-08 -2.355933e-08 0.000000e+00)
4.5           	bottomWall	(-1.150266e+01 -2.861990e-02 0.000000e+00)	(-4.118916e+00 4.565284e-02 0.000000e+00)
5             	topWall	(-4.932923e-10 -3.243109e-06 0.000000e+00)	(1.098541e-08 -2.355956e-08 0.000000e+00)
5             	bottomWall	(-1.150264e+01 -2.861990e-02 0.000000e+00)	(-4.118912e+00 4.565696e-02 0.000000e+00)
5.5           	topWall	(-4.920905e-10 -3.246084e-06 0.000000e+00)	(1.098548e-08 -2.355973e-08 0.000000e+00)
5.5           	bottomWall	(-1.150265e+01 -2.861990e-02 0.000000e+00)	(-4.118917e+00 4.565544e-02 0.000000e+00)
6             	topWall	(-4.951804e-10 -3.248761e-06 0.000000e+00)	(1.098541e-08 -2.355958e-08 0.000000e+00)
6             	bottomWall	(-1.150264e+01 -2.861990e-02 0.000000e+00)	(-4.118917e+00 4.565545e-02 0.000000e+00)
6.5           	topWall	(-4.910323e-10 -3.255327e-06 0.000000e+00)	(1.098549e-08 -2.355976e-08 0.000000e+00)
6.5           	bottomWall	(-1.150264e+01 -2.861990e-02 0.000000e+00)	(-4.118921e+00 4.565526e-02 0.000000e+00)
7             	topWall	(-4.914274e-10 -3.255131e-06 0.000000e+00)	(1.098546e-08 -2.355970e-08 0.000000e+00)
