# Wall shear stress
# Time        	patch         	min           	max           
0.5           	topWall	(-2.567398e-10 -2.968111e-08 0.000000e+00)	(7.569068e-10 4.485100e-12 0.000000e+00)
0.5           	bottomWall	(-6.177650e+01 -8.970612e-01 0.000000e+00)	(-5.005424e+01 1.722581e-04 0.000000e+00)
1             	topWall	(-3.642872e-10 -4.586999e-08 0.000000e+00)	(1.214975e-09 -8.331454e-10 0.000000e+00)
1             	bottomWall	(-5.057958e+01 -9.186730e-01 0.000000e+00)	(-3.652120e+01 1.015585e-05 0.000000e+00)
1.5           	topWall	(-5.518203e-10 -6.929466e-08 0.000000e+00)	(1.790651e-09 -1.209282e-09 0.000000e+00)
1.5           	bottomWall	(-4.953768e+01 -9.356639e-01 0.000000e+00)	(-3.341808e+01 6.773997e-06 0.000000e+00)
2             	topWall	(-7.800877e-10 -9.899572e-08 0.000000e+00)	(2.506390e-09 -1.734008e-09 0.000000e+00)
2             	bottomWall	(-5.137400e+01 -9.474907e-01 0.000000e+00)	(-3.119056e+01 5.242079e-06 0.000000e+00)
2.5           	topWall	(-1.042111e-09 -1.353736e-07 0.000000e+00)	(3.331966e-09 -2.309101e-09 0.000000e+00)
2.5           	bottomWall	(-5.441160e+01 -9.550628e-01 0.000000e+00)	(-2.903411e+01 4.302329e-06 0.000000e+00)
3             	topWall	(-1.329867e-09 -1.789245e-07 0.000000e+00)	(4.271735e-09 -2.965328e-09 0.000000e+00)
3             	bottomWall	(-5.581131e+01 -9.597157e-01 0.000000e+00)	(-2.704731e+01 3.695578e-06 0.000000e+00)
3.5           	topWall	(-1.634107e-09 -2.290735e-07 0.000000e+00)	(5.318575e-09 -3.698230e-09 0.000000e+00)
3.5           	bottomWall	(-5.538977e+01 -9.624001e-01 0.000000e+00)	(-2.526594e+01 2.197696e-06 0.000000e+00)
4             	topWall	(-1.940071e-09 -2.857214e-07 0.000000e+00)	(6.454540e-09 -4.493473e-09 0.000000e+00)
4             	bottomWall	(-5.431979e+01 -9.637516e-01 0.000000e+00)	(-2.367451e+01 1.236841e-06 0.000000e+00)
4.5           	topWall	(-2.254882e-09 -3.486358e-07 0.000000e+00)	(7.667198e-09 -5.342976e-09 0.000000e+00)
4.5           	bottomWall	(-5.345924e+01 -9.642691e-01 0.000000e+00)	(-2.228116e+01 9.639154e-07 0.000000e+00)
5             	topWall	(-2.591978e-09 -4.170088e-07 0.000000e+00)	(8.950006e-09 -6.242724e-09 0.000000e+00)
5             	bottomWall	(-5.313056e+01 -9.643078e-01 0.000000e+00)	(-2.106945e+01 5.643086e-07 0.000000e+00)
5.5           	topWall	(-2.906951e-09 -4.911259e-07 0.000000e+00)	(1.029479e-08 -7.186118e-09 0.000000e+00)
5.5           	bottomWall	(-5.319553e+01 -9.641087e-01 0.000000e+00)	(-2.002078e+01 2.314013e-07 0.000000e+00)
6             	topWall	(-3.217245e-09 -5.708055e-07 0.000000e+00)	(1.169445e-08 -8.167598e-09 0.000000e+00)
6             	bottomWall	(-5.340710e+01 -9.638099e-01 0.000000e+00)	(-1.911285e+01 1.355283e-07 0.000000e+00)
6.5           	topWall	(-3.536628e-09 -6.555162e-07 0.000000e+00)	(1.312797e-08 -9.123052e-09 0.000000e+00)
6.5           	bottomWall	(-5.353596e+01 -9.634740e-01 0.000000e+00)	(-1.832758e+01 7.397670e-08 0.000000e+00)
7             	topWall	(-3.852647e-09 -7.449105e-07 0.000000e+00)	(1.462568e-08 -1.024338e-08 0.000000e+00)
7             	bottomWall	(-5.350844e+01 -9.631237e-01 0.000000e+00)	(-1.764683e+01 3.701595e-08 0.000000e+00)
7.5           	topWall	(-4.156872e-09 -8.382736e-07 0.000000e+00)	(1.613521e-08 -1.130043e-08 0.000000e+00)
7.5           	bottomWall	(-5.338378e+01 -9.627684e-01 0.000000e+00)	(-1.705424e+01 2.984015e-08 0.000000e+00)
8             	topWall	(-4.446826e-09 -9.349542e-07 0.000000e+00)	(1.764174e-08 -1.236443e-08 0.000000e+00)
8             	bottomWall	(-5.325826e+01 -9.624166e-01 0.000000e+00)	(-1.653509e+01 2.435099e-08 0.000000e+00)
8.5           	topWall	(-4.720878e-09 -1.034398e-06 0.000000e+00)	(1.917243e-08 -1.343920e-08 0.000000e+00)
8.5           	bottomWall	(-5.319020e+01 -9.620768e-01 0.000000e+00)	(-1.607731e+01 1.321157e-08 0.000000e+00)
9             	topWall	(-4.980100e-09 -1.135905e-06 0.000000e+00)	(2.068009e-08 -1.444758e-08 0.000000e+00)
9             	bottomWall	(-5.317789e+01 -9.617567e-01 0.000000e+00)	(-1.567077e+01 5.237798e-09 0.000000e+00)
9.5           	topWall	(-5.226287e-09 -1.239231e-06 0.000000e+00)	(2.219840e-08 -1.551815e-08 0.000000e+00)
9.5           	bottomWall	(-5.318940e+01 -9.614600e-01 0.000000e+00)	(-1.530672e+01 1.739002e-10 0.000000e+00)
10            	topWall	(-5.460225e-09 -1.343785e-06 0.000000e+00)	(2.369772e-08 -1.658655e-08 0.000000e+00)
10            	bottomWall	(-5.319437e+01 -9.611864e-01 0.000000e+00)	(-1.497810e+01 -9.404298e-09 0.000000e+00)
10.5          	topWall	(-5.682139e-09 -1.449159e-06 0.000000e+00)	(2.519566e-08 -1.763456e-08 0.000000e+00)
10.5          	bottomWall	(-5.318088e+01 -9.609335e-01 0.000000e+00)	(-1.467932e+01 -1.725323e-08 0.000000e+00)
11            	topWall	(-5.889399e-09 -1.554922e-06 0.000000e+00)	(2.665673e-08 -1.867556e-08 0.000000e+00)
11            	bottomWall	(-5.315395e+01 -9.606983e-01 0.000000e+00)	(-1.440593e+01 -2.945652e-08 0.000000e+00)
11.5          	topWall	(-6.083569e-09 -1.660735e-06 0.000000e+00)	(2.811377e-08 -1.969094e-08 0.000000e+00)
11.5          	bottomWall	(-5.312479e+01 -9.604791e-01 0.000000e+00)	(-1.415433e+01 -3.949065e-08 0.000000e+00)
12            	topWall	(-6.264723e-09 -1.766335e-06 0.000000e+00)	(2.952151e-08 -2.069888e-08 0.000000e+00)
12            	bottomWall	(-5.310098e+01 -9.602747e-01 0.000000e+00)	(-1.392153e+01 -4.839779e-08 0.000000e+00)
12.5          	topWall	(-6.435636e-09 -1.871560e-06 0.000000e+00)	(3.092930e-08 -2.167605e-08 0.000000e+00)
12.5          	bottomWall	(-5.308364e+01 -9.600849e-01 0.000000e+00)	(-1.370507e+01 -5.551814e-08 0.000000e+00)
13            	topWall	(-6.594571e-09 -1.976122e-06 0.000000e+00)	(3.227609e-08 -2.264522e-08 0.000000e+00)
13            	bottomWall	(-5.307010e+01 -9.599090e-01 0.000000e+00)	(-1.350300e+01 -5.978558e-08 0.000000e+00)
13.5          	topWall	(-6.743328e-09 -2.079964e-06 0.000000e+00)	(3.362916e-08 -2.357874e-08 0.000000e+00)
13.5          	bottomWall	(-5.305743e+01 -9.597467e-01 0.000000e+00)	(-1.331373e+01 -6.413773e-08 0.000000e+00)
14            	topWall	(-6.879605e-09 -2.182822e-06 0.000000e+00)	(3.491002e-08 -2.450482e-08 0.000000e+00)
14            	bottomWall	(-5.304434e+01 -9.595971e-01 0.000000e+00)	(-1.313603e+01 -6.902459e-08 0.000000e+00)
14.5          	topWall	(-7.008275e-09 -2.284677e-06 0.000000e+00)	(3.620397e-08 -2.539563e-08 0.000000e+00)
14.5          	bottomWall	(-5.303121e+01 -9.594587e-01 0.000000e+00)	(-1.296891e+01 -7.433016e-08 0.000000e+00)
15            	topWall	(-7.125886e-09 -2.385324e-06 0.000000e+00)	(3.744233e-08 -2.627231e-08 0.000000e+00)
15            	bottomWall	(-5.301910e+01 -9.593295e-01 0.000000e+00)	(-1.281161e+01 -7.920002e-08 0.000000e+00)
15.5          	topWall	(-7.231584e-09 -2.484606e-06 0.000000e+00)	(3.859144e-08 -2.719215e-08 0.000000e+00)
15.5          	bottomWall	(-5.300861e+01 -9.592066e-01 0.000000e+00)	(-1.266353e+01 -8.332154e-08 0.000000e+00)
16            	topWall	(-7.334825e-09 -2.582574e-06 0.000000e+00)	(3.983610e-08 -2.792532e-08 0.000000e+00)
16            	bottomWall	(-5.299945e+01 -9.590869e-01 0.000000e+00)	(-1.252416e+01 -8.667469e-08 0.000000e+00)
16.5          	topWall	(-7.419228e-09 -2.678963e-06 0.000000e+00)	(4.105899e-08 -2.886960e-08 0.000000e+00)
16.5          	bottomWall	(-5.299071e+01 -9.589682e-01 0.000000e+00)	(-1.239305e+01 -8.961701e-08 0.000000e+00)
17            	topWall	(-7.490858e-09 -2.773826e-06 0.000000e+00)	(4.201515e-08 -2.960386e-08 0.000000e+00)
17            	bottomWall	(-5.298149e+01 -9.588496e-01 0.000000e+00)	(-1.226980e+01 -9.258642e-08 0.000000e+00)
17.5          	topWall	(-7.560637e-09 -2.867020e-06 0.000000e+00)	(4.314354e-08 -3.026048e-08 0.000000e+00)
17.5          	bottomWall	(-5.297140e+01 -9.587310e-01 0.000000e+00)	(-1.215401e+01 -9.575422e-08 0.000000e+00)
18            	topWall	(-7.610753e-09 -2.958536e-06 0.000000e+00)	(4.426795e-08 -3.113095e-08 0.000000e+00)
18            	bottomWall	(-5.296068e+01 -9.586130e-01 0.000000e+00)	(-1.204530e+01 -9.909662e-08 0.000000e+00)
18.5          	topWall	(-7.659608e-09 -3.048342e-06 0.000000e+00)	(4.513536e-08 -3.179732e-08 0.000000e+00)
18.5          	bottomWall	(-5.294983e+01 -9.584965e-01 0.000000e+00)	(-1.194326e+01 -1.024182e-07 0.000000e+00)
19            	topWall	(-7.698296e-09 -3.136362e-06 0.000000e+00)	(4.616178e-08 -3.239553e-08 0.000000e+00)
19            	bottomWall	(-5.293939e+01 -9.583829e-01 0.000000e+00)	(-1.184750e+01 -1.054832e-07 0.000000e+00)
19.5          	topWall	(-7.741370e-09 -3.222621e-06 0.000000e+00)	(4.718523e-08 -3.318748e-08 0.000000e+00)
19.5          	bottomWall	(-5.292961e+01 -9.582733e-01 0.000000e+00)	(-1.175762e+01 -1.080931e-07 0.000000e+00)
20            	topWall	(-7.767269e-09 -3.307090e-06 0.000000e+00)	(4.796954e-08 -3.378952e-08 0.000000e+00)
20            	bottomWall	(-5.292057e+01 -9.581683e-01 0.000000e+00)	(-1.167321e+01 -1.101579e-07 0.000000e+00)
20.5          	topWall	(-7.798580e-09 -3.389723e-06 0.000000e+00)	(4.889856e-08 -3.433220e-08 0.000000e+00)
20.5          	bottomWall	(-5.291221e+01 -9.580684e-01 0.000000e+00)	(-1.159389e+01 -1.117199e-07 0.000000e+00)
21            	topWall	(-7.824664e-09 -3.470588e-06 0.000000e+00)	(4.982719e-08 -3.504965e-08 0.000000e+00)
21            	bottomWall	(-5.290443e+01 -9.579733e-01 0.000000e+00)	(-1.151932e+01 -1.128989e-07 0.000000e+00)
21.5          	topWall	(-7.837210e-09 -3.549617e-06 0.000000e+00)	(5.054608e-08 -3.553835e-08 0.000000e+00)
21.5          	bottomWall	(-5.289713e+01 -9.578822e-01 0.000000e+00)	(-1.144918e+01 -1.138933e-07 0.000000e+00)
22            	topWall	(-7.849117e-09 -3.626852e-06 0.000000e+00)	(5.134775e-08 -3.610144e-08 0.000000e+00)
22            	bottomWall	(-5.289017e+01 -9.577944e-01 0.000000e+00)	(-1.138319e+01 -1.148393e-07 0.000000e+00)
22.5          	topWall	(-7.855645e-09 -3.702268e-06 0.000000e+00)	(5.211631e-08 -3.664424e-08 0.000000e+00)
22.5          	bottomWall	(-5.288338e+01 -9.577087e-01 0.000000e+00)	(-1.132108e+01 -1.159170e-07 0.000000e+00)
23            	topWall	(-7.859178e-09 -3.775890e-06 0.000000e+00)	(5.285949e-08 -3.717221e-08 0.000000e+00)
23            	bottomWall	(-5.287658e+01 -9.576246e-01 0.000000e+00)	(-1.126265e+01 -1.172083e-07 0.000000e+00)
23.5          	topWall	(-7.857548e-09 -3.847738e-06 0.000000e+00)	(5.359679e-08 -3.765819e-08 0.000000e+00)
23.5          	bottomWall	(-5.286964e+01 -9.575417e-01 0.000000e+00)	(-1.120768e+01 -1.187748e-07 0.000000e+00)
24            	topWall	(-7.852122e-09 -3.917881e-06 0.000000e+00)	(5.426800e-08 -3.817165e-08 0.000000e+00)
24            	bottomWall	(-5.286258e+01 -9.574604e-01 0.000000e+00)	(-1.115599e+01 -1.205476e-07 0.000000e+00)
24.5          	topWall	(-7.842401e-09 -3.986209e-06 0.000000e+00)	(5.492836e-08 -3.862871e-08 0.000000e+00)
24.5          	bottomWall	(-5.285550e+01 -9.573803e-01 0.000000e+00)	(-1.110739e+01 -1.227389e-07 0.000000e+00)
25            	topWall	(-7.829813e-09 -4.052878e-06 0.000000e+00)	(5.557247e-08 -3.908738e-08 0.000000e+00)
25            	bottomWall	(-5.284856e+01 -9.573029e-01 0.000000e+00)	(-1.106171e+01 -1.249207e-07 0.000000e+00)
25.5          	topWall	(-7.813608e-09 -4.117787e-06 0.000000e+00)	(5.618571e-08 -3.952370e-08 0.000000e+00)
25.5          	bottomWall	(-5.284193e+01 -9.572276e-01 0.000000e+00)	(-1.101876e+01 -1.275864e-07 0.000000e+00)
26            	topWall	(-7.794872e-09 -4.181089e-06 0.000000e+00)	(5.679173e-08 -3.994791e-08 0.000000e+00)
26            	bottomWall	(-5.283571e+01 -9.571567e-01 0.000000e+00)	(-1.097838e+01 -1.298627e-07 0.000000e+00)
26.5          	topWall	(-7.772128e-09 -4.242694e-06 0.000000e+00)	(5.736067e-08 -4.035131e-08 0.000000e+00)
26.5          	bottomWall	(-5.282998e+01 -9.570896e-01 0.000000e+00)	(-1.094040e+01 -1.321824e-07 0.000000e+00)
27            	topWall	(-7.748010e-09 -4.302680e-06 0.000000e+00)	(5.791310e-08 -4.074216e-08 0.000000e+00)
