# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	topWall	3.772756e-02	3.704774e-01	3.007959e-01
0.5           	bottomWall	1.029089e-01	3.723943e+01	2.338083e+01
1             	topWall	3.714734e-02	5.500593e-01	3.917241e-01
1             	bottomWall	7.709569e-02	3.671962e+01	2.498612e+01
1.5           	topWall	3.566426e-02	5.445191e-01	3.782588e-01
1.5           	bottomWall	7.994839e-02	3.627481e+01	2.622997e+01
2             	topWall	3.529795e-02	6.689675e-01	3.826202e-01
2             	bottomWall	7.976686e-02	3.630976e+01	2.664575e+01
2.5           	topWall	3.492220e-02	4.913063e-01	3.534877e-01
2.5           	bottomWall	7.976745e-02	3.632257e+01	2.669809e+01
3             	topWall	3.488776e-02	4.207059e-01	3.449136e-01
3             	bottomWall	7.976727e-02	3.632664e+01	2.670088e+01
3.5           	topWall	3.487700e-02	4.167016e-01	3.435959e-01
3.5           	bottomWall	7.976760e-02	3.632663e+01	2.669875e+01
4             	topWall	3.487657e-02	4.166314e-01	3.434673e-01
4             	bottomWall	7.976778e-02	3.632641e+01	2.669719e+01
4.5           	topWall	3.487626e-02	4.167031e-01	3.434581e-01
4.5           	bottomWall	7.976786e-02	3.632645e+01	2.669748e+01
5             	topWall	3.487646e-02	4.169659e-01	3.435252e-01
5             	bottomWall	7.976786e-02	3.632645e+01	2.669726e+01
5.5           	topWall	3.487657e-02	4.172794e-01	3.435818e-01
5.5           	bottomWall	7.976786e-02	3.632645e+01	2.669714e+01
6             	topWall	3.487649e-02	4.172637e-01	3.436067e-01
6             	bottomWall	7.976786e-02	3.632645e+01	2.669725e+01
6.5           	topWall	3.487663e-02	4.172279e-01	3.436283e-01
6.5           	bottomWall	7.976786e-02	3.632645e+01	2.669707e+01
7             	topWall	3.487656e-02	4.172212e-01	3.436187e-01
7             	bottomWall	7.978288e-02	3.632672e+01	2.669672e+01
7.5           	topWall	3.487653e-02	4.172211e-01	3.436155e-01
7.5           	bottomWall	7.979096e-02	3.632741e+01	2.669662e+01
8             	topWall	3.487653e-02	4.172211e-01	3.436157e-01
8             	bottomWall	7.979098e-02	3.632763e+01	2.669651e+01
8.5           	topWall	3.487650e-02	4.172209e-01	3.436153e-01
8.5           	bottomWall	7.979098e-02	3.632758e+01	2.669650e+01
9             	topWall	3.487651e-02	4.172212e-01	3.436157e-01
9             	bottomWall	7.979098e-02	3.632754e+01	2.669650e+01
9.5           	topWall	3.487650e-02	4.172211e-01	3.436156e-01
9.5           	bottomWall	7.979100e-02	3.632755e+01	2.669650e+01
10            	topWall	3.487650e-02	4.172208e-01	3.436154e-01
10            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
10.5          	topWall	3.487650e-02	4.172208e-01	3.436155e-01
10.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
11            	topWall	3.487649e-02	4.172207e-01	3.436154e-01
11            	bottomWall	7.979102e-02	3.632755e+01	2.669649e+01
11.5          	topWall	3.487650e-02	4.172207e-01	3.436154e-01
11.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
12            	topWall	3.487650e-02	4.172207e-01	3.436154e-01
12            	bottomWall	7.979102e-02	3.632755e+01	2.669649e+01
12.5          	topWall	3.487650e-02	4.172207e-01	3.436154e-01
12.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
13            	topWall	3.487650e-02	4.172207e-01	3.436154e-01
13            	bottomWall	7.979102e-02	3.632755e+01	2.669649e+01
13.5          	topWall	3.487650e-02	4.172207e-01	3.436154e-01
13.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
14            	topWall	3.487649e-02	4.172207e-01	3.436154e-01
14            	bottomWall	7.979102e-02	3.632755e+01	2.669649e+01
14.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
14.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
15            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
15            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
15.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
15.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
16            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
16            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
16.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
16.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
17            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
17            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
17.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
17.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
18            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
18            	bottomWall	7.979102e-02	3.632755e+01	2.669649e+01
18.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
18.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
19            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
19            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
19.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
19.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
20            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
