# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	topWall	5.872462e-04	1.216857e-01	9.598406e-02
0.5           	bottomWall	1.499498e-03	2.173434e-03	2.154939e-03
1             	topWall	1.975483e-02	1.515426e-01	1.212582e-01
1             	bottomWall	1.277282e-03	3.258614e-03	3.078868e-03
1.5           	topWall	2.389921e-02	1.862582e-01	1.495814e-01
1.5           	bottomWall	1.468249e-03	4.353894e-03	3.842764e-03
2             	topWall	2.856948e-02	2.226255e-01	1.793255e-01
2             	bottomWall	2.239472e-03	4.979223e-03	4.061240e-03
2.5           	topWall	3.302051e-02	2.603353e-01	2.107988e-01
2.5           	bottomWall	3.249750e-03	5.244857e-03	4.026519e-03
3             	topWall	3.746143e-02	2.992989e-01	2.438376e-01
3             	bottomWall	3.645445e-03	5.351855e-03	3.901016e-03
3.5           	topWall	4.186671e-02	3.386591e-01	2.783637e-01
3.5           	bottomWall	3.469712e-03	5.380328e-03	3.750332e-03
4             	topWall	4.618205e-02	3.781839e-01	3.136889e-01
4             	bottomWall	3.080553e-03	5.388293e-03	3.602219e-03
4.5           	topWall	5.039295e-02	4.176943e-01	3.498564e-01
4.5           	bottomWall	2.747620e-03	5.410215e-03	3.468517e-03
5             	topWall	5.449467e-02	4.569096e-01	3.854699e-01
5             	bottomWall	2.625073e-03	5.446251e-03	3.353794e-03
5.5           	topWall	5.849418e-02	4.958879e-01	4.206104e-01
5.5           	bottomWall	2.665189e-03	5.480593e-03	3.258724e-03
6             	topWall	6.238448e-02	5.346063e-01	4.560484e-01
6             	bottomWall	2.761876e-03	5.499288e-03	3.181978e-03
6.5           	topWall	6.598672e-02	5.729142e-01	4.909442e-01
6.5           	bottomWall	2.824730e-03	5.497668e-03	3.121300e-03
7             	topWall	6.985665e-02	6.107358e-01	5.251349e-01
7             	bottomWall	2.828180e-03	5.479638e-03	3.074150e-03
7.5           	topWall	7.338600e-02	6.478827e-01	5.585331e-01
7.5           	bottomWall	2.793017e-03	5.454626e-03	3.038036e-03
8             	topWall	7.679308e-02	6.842283e-01	5.911720e-01
8             	bottomWall	2.755441e-03	5.431767e-03	3.010667e-03
8.5           	topWall	8.007123e-02	7.197000e-01	6.230202e-01
8.5           	bottomWall	2.726821e-03	5.415703e-03	2.990019e-03
9             	topWall	8.305505e-02	7.541909e-01	6.539026e-01
9             	bottomWall	2.685182e-03	5.406787e-03	2.974360e-03
9.5           	topWall	8.608952e-02	7.877498e-01	6.838949e-01
9.5           	bottomWall	2.648142e-03	5.403073e-03	2.962277e-03
10            	topWall	8.901556e-02	8.203115e-01	7.129061e-01
10            	bottomWall	2.614766e-03	5.402271e-03	2.952673e-03
10.5          	topWall	9.179237e-02	8.518703e-01	7.409199e-01
10.5          	bottomWall	2.584345e-03	5.402864e-03	2.944742e-03
11            	topWall	9.447395e-02	8.824108e-01	7.679394e-01
11            	bottomWall	2.556345e-03	5.404087e-03	2.937920e-03
11.5          	topWall	9.701491e-02	9.119442e-01	7.940014e-01
11.5          	bottomWall	2.530357e-03	5.405512e-03	2.931825e-03
12            	topWall	9.947849e-02	9.404931e-01	8.191195e-01
12            	bottomWall	2.506057e-03	5.406737e-03	2.926208e-03
12.5          	topWall	1.018042e-01	9.681052e-01	8.433362e-01
12.5          	bottomWall	2.483186e-03	5.407359e-03	2.920915e-03
13            	topWall	1.040676e-01	9.947821e-01	8.666522e-01
13            	bottomWall	2.461551e-03	5.407113e-03	2.915862e-03
13.5          	topWall	1.061935e-01	1.020589e+00	8.891337e-01
13.5          	bottomWall	2.441015e-03	5.405987e-03	2.911013e-03
14            	topWall	1.082726e-01	1.045520e+00	9.107953e-01
14            	bottomWall	2.421478e-03	5.404204e-03	2.906369e-03
14.5          	topWall	1.102217e-01	1.069638e+00	9.316712e-01
14.5          	bottomWall	2.402881e-03	5.402106e-03	2.901948e-03
15            	topWall	1.121122e-01	1.092946e+00	9.517870e-01
15            	bottomWall	2.385188e-03	5.400025e-03	2.897779e-03
15.5          	topWall	1.140622e-01	1.115462e+00	9.711611e-01
15.5          	bottomWall	2.368384e-03	5.398195e-03	2.893893e-03
16            	topWall	1.156003e-01	1.137242e+00	9.898436e-01
16            	bottomWall	2.352459e-03	5.396730e-03	2.890315e-03
16.5          	topWall	1.174764e-01	1.158265e+00	1.007837e+00
16.5          	bottomWall	2.337408e-03	5.395638e-03	2.887065e-03
17            	topWall	1.190296e-01	1.178604e+00	1.025185e+00
17            	bottomWall	2.323221e-03	5.394859e-03	2.884154e-03
17.5          	topWall	1.203536e-01	1.198239e+00	1.041898e+00
17.5          	bottomWall	2.309883e-03	5.394300e-03	2.881587e-03
18            	topWall	1.220129e-01	1.217209e+00	1.057993e+00
18            	bottomWall	2.297375e-03	5.393862e-03	2.879359e-03
18.5          	topWall	1.233744e-01	1.235555e+00	1.073499e+00
18.5          	bottomWall	2.285667e-03	5.393458e-03	2.877460e-03
19            	topWall	1.245379e-01	1.253265e+00	1.088442e+00
19            	bottomWall	2.274722e-03	5.393016e-03	2.875875e-03
19.5          	topWall	1.259981e-01	1.270380e+00	1.102835e+00
19.5          	bottomWall	2.264499e-03	5.392491e-03	2.874587e-03
20            	topWall	1.271920e-01	1.286929e+00	1.116698e+00
20            	bottomWall	2.254951e-03	5.391867e-03	2.873571e-03
20.5          	topWall	1.282154e-01	1.302907e+00	1.130056e+00
20.5          	bottomWall	2.246034e-03	5.391155e-03	2.872807e-03
21            	topWall	1.295013e-01	1.318354e+00	1.142923e+00
21            	bottomWall	2.237701e-03	5.390388e-03	2.872268e-03
