# ccx tau_xx tau_yy tau_zz
0.000485708 -52.6791 -0.95525 0
0.00145827 -34.7126 -0.00279741 0
0.00243313 -34.3298 -0.000252952 0
0.00341029 -32.9725 -0.000362106 0
0.00438975 -31.8507 -0.0003144 0
0.00537153 -30.8161 -0.000283805 0
0.00635563 -29.9001 -0.000248953 0
0.00734204 -29.1014 -0.000217065 0
0.00833079 -28.4018 -0.000190541 0
0.00932187 -27.7833 -0.000168805 0
0.0103153 -27.2314 -0.000150816 0
0.011311 -26.7353 -0.000135741 0
0.0123092 -26.286 -0.000123109 0
0.0133096 -25.8759 -0.000112447 0
0.0143125 -25.4993 -0.000103249 0
0.0153177 -25.1519 -9.52564e-05 0
0.0163252 -24.8298 -8.82759e-05 0
0.0173352 -24.53 -8.21495e-05 0
0.0183475 -24.2498 -7.67515e-05 0
0.0193622 -23.9869 -7.19382e-05 0
0.0203793 -23.7395 -6.76202e-05 0
0.0213988 -23.5061 -6.37364e-05 0
0.0224208 -23.2853 -6.02322e-05 0
0.0234451 -23.0759 -5.70525e-05 0
0.0244718 -22.8768 -5.4158e-05 0
0.025501 -22.6872 -5.15022e-05 0
0.0265326 -22.5064 -4.90681e-05 0
0.0275667 -22.3335 -4.68297e-05 0
0.0286031 -22.168 -4.47652e-05 0
0.0296421 -22.0092 -4.28502e-05 0
0.0306834 -21.8569 -4.10747e-05 0
0.0317273 -21.7104 -3.94228e-05 0
0.0327736 -21.5693 -3.78856e-05 0
0.0338223 -21.4334 -3.64447e-05 0
0.0348736 -21.3023 -3.50995e-05 0
0.0359273 -21.1756 -3.38351e-05 0
0.0369835 -21.0531 -3.26528e-05 0
0.0380422 -20.9346 -3.1542e-05 0
0.0391034 -20.8198 -3.04948e-05 0
0.0401671 -20.7085 -2.95077e-05 0
0.0412333 -20.6005 -2.85765e-05 0
0.0423021 -20.4957 -2.76987e-05 0
0.0433733 -20.3937 -2.68648e-05 0
0.0444471 -20.2946 -2.60704e-05 0
0.0455234 -20.1982 -2.53156e-05 0
0.0466023 -20.1043 -2.45899e-05 0
0.0476837 -20.0129 -2.38993e-05 0
