# ccx tau_xx tau_yy tau_zz
0.000485708 -6.29228 -0.014754 0
0.00145827 -6.24943 -0.02041 0
0.00243313 -6.20157 -0.0237119 0
0.00341029 -6.15099 -0.0256679 0
0.00438975 -6.09901 -0.026882 0
0.00537153 -6.04642 -0.027646 0
0.00635563 -5.99349 -0.0281204 0
0.00734204 -5.9403 -0.0284052 0
0.00833079 -5.88688 -0.0285598 0
0.00932187 -5.83328 -0.0286199 0
0.0103153 -5.77951 -0.0286089 0
0.011311 -5.72561 -0.0285433 0
0.0123092 -5.67158 -0.0284344 0
0.0133096 -5.61743 -0.0282906 0
0.0143125 -5.56316 -0.0281175 0
0.0153177 -5.5088 -0.0279198 0
0.0163252 -5.45434 -0.0277005 0
0.0173352 -5.39982 -0.0274622 0
0.0183475 -5.34522 -0.0272061 0
0.0193622 -5.29058 -0.0269337 0
0.0203793 -5.23591 -0.0266449 0
0.0213988 -5.18123 -0.0263402 0
0.0224208 -5.12657 -0.0260186 0
0.0234451 -5.07196 -0.0256796 0
0.0244718 -5.01742 -0.025321 0
0.025501 -4.96303 -0.0249416 0
0.0265326 -4.90879 -0.0245379 0
0.0275667 -4.85481 -0.0241074 0
0.0286031 -4.8011 -0.0236451 0
0.0296421 -4.74783 -0.023147 0
0.0306834 -4.69499 -0.0226061 0
0.0317273 -4.64282 -0.0220164 0
0.0327736 -4.59131 -0.0213686 0
0.0338223 -4.54081 -0.0206532 0
0.0348736 -4.4913 -0.0198593 0
0.0359273 -4.44327 -0.0189724 0
0.0369835 -4.39668 -0.0179808 0
0.0380422 -4.35222 -0.0168628 0
0.0391034 -4.30981 -0.0156102 0
0.0401671 -4.27043 -0.0141896 0
0.0412333 -4.2339 -0.0126066 0
0.0423021 -4.20161 -0.0108092 0
0.0433733 -4.17316 -0.00883898 0
0.0444471 -4.15049 -0.00661633 0
0.0455234 -4.13279 -0.00426163 0
0.0466023 -4.12265 -0.00164901 0
0.0476837 -4.11871 0.0007969 0
0.0487676 -4.12279 0.00298156 0
0.0498542 -4.13222 0.0044392 0
0.0509432 -4.15145 0.00581624 0
0.0520349 -4.17667 0.00612238 0
0.0531291 -4.21381 0.00639254 0
0.0542259 -4.25676 0.00505637 0
0.0553253 -4.31185 0.00360479 0
0.0564273 -4.37193 0.00112404 0
0.0575319 -4.43608 -0.00776916 0
0.0586391 -4.50436 0.015375 0
0.0597489 -5.02077 0.045599 0
0.0608614 -5.86946 0.0413994 0
0.0619764 -6.68401 0.0312596 0
0.0630941 -7.44762 0.0217657 0
0.0642144 -8.15044 0.0138422 0
0.0653374 -8.78229 0.00748674 0
0.066463 -9.33989 0.00246699 0
0.0675913 -9.82079 -0.00144576 0
0.0687222 -10.2291 -0.00457913 0
0.0698559 -10.5674 -0.00738863 0
0.0709921 -10.8413 -0.0100332 0
0.0721311 -11.0561 -0.0123857 0
0.0732728 -11.2202 -0.0143485 0
0.0744171 -11.3396 -0.0158802 0
0.0755642 -11.4221 -0.0169907 0
0.0767139 -11.473 -0.0177063 0
0.0778664 -11.4987 -0.0180772 0
0.0790216 -11.5031 -0.0181493 0
