# ccx y+
0.000485708 0.00273647
0.00145827 0.0047966
0.00243313 0.00537185
0.00341029 0.00532538
0.00438975 0.00525501
0.00537153 0.00515929
0.00635563 0.00506207
0.00734204 0.00497108
0.00833079 0.00488756
0.00932187 0.00481124
0.0103153 0.0047414
0.011311 0.00467737
0.0123092 0.00461843
0.0133096 0.00456386
0.0143125 0.00451314
0.0153177 0.00446588
0.0163252 0.00442167
0.0173352 0.00438019
0.0183475 0.00434112
0.0193622 0.00430422
0.0203793 0.0042693
0.0213988 0.00423618
0.0224208 0.00420468
0.0234451 0.00417466
0.0244718 0.00414601
0.025501 0.00411861
0.0265326 0.00409237
0.0275667 0.00406719
0.0286031 0.00404301
0.0296421 0.00401975
0.0306834 0.00399736
0.0317273 0.00397576
0.0327736 0.00395492
0.0338223 0.00393477
0.0348736 0.0039153
0.0359273 0.00389643
0.0369835 0.00387816
0.0380422 0.00386044
0.0391034 0.00384324
0.0401671 0.00382652
0.0412333 0.00381028
0.0423021 0.00379447
0.0433733 0.00377908
0.0444471 0.00376409
0.0455234 0.00374948
0.0466023 0.00373523
0.0476837 0.00372134
0.0487676 0.00370778
0.0498542 0.00369454
0.0509432 0.00368162
0.0520349 0.00366898
0.0531291 0.00365664
0.0542259 0.00364456
0.0553253 0.00363275
0.0564273 0.00362118
0.0575319 0.00360986
0.0586391 0.00359875
0.0597489 0.00358788
0.0608614 0.00357721
0.0619764 0.00356675
0.0630941 0.00355647
0.0642144 0.00354639
0.0653374 0.00353649
0.066463 0.00352677
0.0675913 0.00351721
0.0687222 0.00350782
0.0698559 0.00349858
0.0709921 0.0034895
0.0721311 0.00348056
0.0732728 0.00347177
0.0744171 0.00346312
0.0755642 0.0034546
0.0767139 0.00344622
0.0778664 0.00343796
0.0790216 0.00342982
0.0801795 0.00342181
0.0813402 0.00341391
0.0825035 0.00340612
0.0836697 0.00339845
0.0848386 0.00339088
0.0860102 0.00338342
0.0871846 0.00337606
0.0883618 0.0033688
0.0895418 0.00336164
0.0907245 0.00335457
0.0919101 0.00334759
0.0930984 0.00334071
0.0942895 0.00333391
0.0954835 0.00332719
0.0966803 0.00332056
0.0978799 0.00331402
0.0990823 0.00330755
0.100288 0.00330116
0.101496 0.00329484
0.102707 0.00328861
0.10392 0.00328244
0.105137 0.00327634
0.106357 0.00327032
0.107579 0.00326436
0.108804 0.00325846
0.110033 0.00325264
0.111264 0.00324687
0.112498 0.00324117
0.113735 0.00323553
0.114975 0.00322995
0.116217 0.00322443
0.117463 0.00321897
0.118712 0.00321356
0.119963 0.0032082
0.121218 0.0032029
0.122475 0.00319766
0.123736 0.00319246
0.124999 0.00318732
0.126266 0.00318222
0.127535 0.00317718
0.128807 0.00317218
0.130083 0.00316723
0.131361 0.00316233
0.132643 0.00315747
0.133927 0.00315265
0.135215 0.00314788
0.136505 0.00314316
0.137799 0.00313847
0.139096 0.00313383
0.140395 0.00312922
0.141698 0.00312466
0.143004 0.00312014
0.144313 0.00311565
0.145625 0.0031112
0.14694 0.0031068
0.148258 0.00310242
0.149579 0.00309809
0.150904 0.00309378
0.152231 0.00308952
0.153562 0.00308529
0.154896 0.00308109
0.156233 0.00307693
0.157573 0.00307279
0.158916 0.00306869
0.160263 0.00306463
0.161613 0.00306059
0.162965 0.00305659
0.164321 0.00305261
0.165681 0.00304866
0.167043 0.00304475
0.168409 0.00304086
0.169778 0.003037
0.17115 0.00303317
0.172525 0.00302937
0.173904 0.0030256
0.175286 0.00302185
0.176671 0.00301813
0.178059 0.00301443
0.179451 0.00301076
0.180846 0.00300712
