# ccx y+
0.000485708 0.0870513
0.00145827 0.0863999
0.00243313 0.0855784
0.00341029 0.084937
0.00438975 0.0841171
0.00537153 0.083497
0.00635563 0.0827
0.00734204 0.0821215
0.00833079 0.081392
0.00932187 0.0808954
0.0103153 0.0803279
0.011311 0.0799962
0.0123092 0.079791
0.0133096 0.0798954
0.0143125 0.080432
0.0153177 0.0813905
0.0163252 0.0828866
0.0173352 0.0858071
0.0183475 0.0890271
0.0193622 0.0951391
0.0203793 0.100982
0.0213988 0.11177
0.0224208 0.121131
0.0234451 0.13803
0.0244718 0.151703
0.025501 0.176064
0.0265326 0.194832
0.0275667 0.228091
0.0286031 0.252916
0.0296421 0.296836
0.0306834 0.329022
0.0317273 0.385961
0.0327736 0.427361
0.0338223 0.500528
0.0348736 0.553813
0.0359273 0.647656
0.0369835 0.716664
0.0380422 0.837467
0.0391034 0.927537
0.0401671 1.08447
0.0412333 1.20305
0.0423021 1.40922
0.0433733 1.56637
0.0444471 1.8402
0.0455234 2.04788
0.0466023 2.41522
0.0476837 2.68623
0.0487676 3.1936
0.0498542 3.61563
0.0509432 4.4068
0.0520349 4.98011
0.0531291 6.06728
0.0542259 6.77037
0.0553253 8.10572
0.0564273 8.88545
0.0575319 10.3683
0.0586391 11.1028
0.0597489 13.088
0.0608614 15.7888
0.0619764 18.4457
0.0630941 20.9868
0.0642144 23.3637
0.0653374 25.5293
0.066463 27.4645
0.0675913 29.1556
0.0687222 30.6122
0.0698559 31.8439
0.0709921 32.8731
0.0721311 33.7172
0.0732728 34.4024
0.0744171 34.9467
0.0755642 35.3738
0.0767139 35.6991
0.0778664 35.9416
0.0790216 36.1134
0.0801795 36.2287
0.0813402 36.2968
0.0825035 36.3275
0.0836697 36.3231
0.0848386 36.3033
0.0860102 36.2646
0.0871846 36.208
0.0883618 36.1412
0.0895418 36.0669
0.0907245 35.9872
0.0919101 35.9043
0.0930984 35.8194
0.0942895 35.7337
0.0954835 35.6482
0.0966803 35.5634
0.0978799 35.4799
0.0990823 35.3979
0.100288 35.3177
0.101496 35.2393
0.102707 35.1628
0.10392 35.0882
0.105137 35.0154
0.106357 34.9443
0.107579 34.875
0.108804 34.8072
0.110033 34.741
0.111264 34.6762
0.112498 34.6128
0.113735 34.5508
0.114975 34.49
0.116217 34.4305
0.117463 34.3723
0.118712 34.3152
0.119963 34.2594
0.121218 34.2047
0.122475 34.1511
0.123736 34.0987
0.124999 34.0474
0.126266 33.9971
0.127535 33.9479
0.128807 33.8996
0.130083 33.8523
0.131361 33.8059
0.132643 33.7604
0.133927 33.7157
0.135215 33.6719
0.136505 33.6289
0.137799 33.5866
0.139096 33.5451
0.140395 33.5043
0.141698 33.4641
0.143004 33.4247
0.144313 33.386
0.145625 33.3478
0.14694 33.3103
0.148258 33.2734
0.149579 33.2371
0.150904 33.2014
0.152231 33.1662
0.153562 33.1315
0.154896 33.0973
0.156233 33.0637
0.157573 33.0305
0.158916 32.9977
0.160263 32.9654
0.161613 32.9336
0.162965 32.9021
0.164321 32.8711
0.165681 32.8405
0.167043 32.8103
0.168409 32.7804
0.169778 32.751
