# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0.01          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.941026e+01	(1.458271e-03 7.712287e-04 5.000000e-02)
0.02          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.941872e+01	(1.458271e-03 7.279041e-04 5.000000e-02)
0.03          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.943141e+01	(-5.986152e-04 1.421176e-06 5.000000e-02)
0.04          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.945159e+01	(-5.986152e-04 2.017465e-06 5.000000e-02)
0.05          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.947321e+01	(-5.986152e-04 2.017465e-06 5.000000e-02)
0.06          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.949698e+01	(-5.986152e-04 2.630794e-06 5.000000e-02)
0.07          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.952198e+01	(-5.986152e-04 2.630794e-06 5.000000e-02)
0.08          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.954770e+01	(-5.986152e-04 3.261651e-06 5.000000e-02)
0.09          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.957519e+01	(-5.986152e-04 3.261651e-06 5.000000e-02)
0.1           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.960290e+01	(-5.986152e-04 3.261651e-06 5.000000e-02)
0.11          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.963187e+01	(-5.986152e-04 3.910535e-06 5.000000e-02)
0.12          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.966186e+01	(-5.986152e-04 3.910535e-06 5.000000e-02)
0.13          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.969205e+01	(-5.986152e-04 3.910535e-06 5.000000e-02)
0.14          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.972358e+01	(-5.986152e-04 4.577964e-06 5.000000e-02)
0.15          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.975588e+01	(-5.986152e-04 4.577964e-06 5.000000e-02)
0.16          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.978836e+01	(-5.986152e-04 4.577964e-06 5.000000e-02)
0.17          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.982192e+01	(-5.986152e-04 5.264465e-06 5.000000e-02)
0.18          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.985635e+01	(-5.986152e-04 5.264465e-06 5.000000e-02)
0.19          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.989094e+01	(-5.986152e-04 5.264465e-06 5.000000e-02)
0.2           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.992612e+01	(-5.986152e-04 5.970584e-06 5.000000e-02)
0.21          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.996251e+01	(-5.986152e-04 5.970584e-06 5.000000e-02)
0.22          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	6.999903e+01	(-5.986152e-04 5.970584e-06 5.000000e-02)
0.23          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.003565e+01	(-5.986152e-04 5.970584e-06 5.000000e-02)
0.24          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.007363e+01	(-5.986152e-04 6.696883e-06 5.000000e-02)
0.25          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.011190e+01	(-5.986152e-04 6.696883e-06 5.000000e-02)
0.26          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.015023e+01	(-5.986152e-04 6.696883e-06 5.000000e-02)
0.27          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.018899e+01	(-5.986152e-04 7.443937e-06 5.000000e-02)
0.28          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.022883e+01	(-5.986152e-04 7.443937e-06 5.000000e-02)
0.29          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.026869e+01	(-5.986152e-04 7.443937e-06 5.000000e-02)
0.3           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.030857e+01	(-5.986152e-04 7.443937e-06 5.000000e-02)
0.31          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.034906e+01	(-5.986152e-04 8.212340e-06 5.000000e-02)
0.32          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.039027e+01	(-5.986152e-04 8.212340e-06 5.000000e-02)
0.33          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.043144e+01	(-5.986152e-04 8.212340e-06 5.000000e-02)
0.34          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.047257e+01	(-5.986152e-04 8.212340e-06 5.000000e-02)
0.35          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.051414e+01	(-5.986152e-04 9.002701e-06 5.000000e-02)
0.36          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.055640e+01	(-5.986152e-04 9.002701e-06 5.000000e-02)
0.37          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.059858e+01	(-5.986152e-04 9.002701e-06 5.000000e-02)
0.38          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.064065e+01	(-5.986152e-04 9.002701e-06 5.000000e-02)
0.39          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.068261e+01	(-5.986152e-04 9.002701e-06 5.000000e-02)
0.4           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.072555e+01	(-5.986152e-04 9.815649e-06 5.000000e-02)
0.41          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.076841e+01	(-5.986152e-04 9.815649e-06 5.000000e-02)
0.42          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.081110e+01	(-5.986152e-04 9.815649e-06 5.000000e-02)
0.43          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.085363e+01	(-5.986152e-04 9.815649e-06 5.000000e-02)
0.44          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.089597e+01	(-5.986152e-04 9.815649e-06 5.000000e-02)
0.45          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.093914e+01	(-5.986152e-04 1.065183e-05 5.000000e-02)
0.46          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.098212e+01	(-5.986152e-04 1.065183e-05 5.000000e-02)
0.47          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.102487e+01	(-5.986152e-04 1.065183e-05 5.000000e-02)
0.48          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.106743e+01	(-5.986152e-04 1.065183e-05 5.000000e-02)
0.49          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.110972e+01	(-5.986152e-04 1.065183e-05 5.000000e-02)
0.5           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.115185e+01	(-5.986152e-04 1.151190e-05 5.000000e-02)
0.51          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.119451e+01	(-5.986152e-04 1.151190e-05 5.000000e-02)
0.52          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.123687e+01	(-5.986152e-04 1.151190e-05 5.000000e-02)
0.53          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.127894e+01	(-5.986152e-04 1.151190e-05 5.000000e-02)
0.54          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.132070e+01	(-5.986152e-04 1.151190e-05 5.000000e-02)
0.55          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.136216e+01	(-5.986152e-04 1.151190e-05 5.000000e-02)
0.56          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.140330e+01	(-5.986152e-04 1.151190e-05 5.000000e-02)
0.57          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.144413e+01	(-5.986152e-04 1.151190e-05 5.000000e-02)
0.58          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.148499e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.59          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.152582e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.6           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.156629e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.61          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.160640e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.62          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.164615e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.63          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.168553e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.64          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.172454e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.65          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.176318e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.66          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.180145e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.67          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.183934e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.68          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.187687e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.69          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.191401e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.7           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.195078e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.71          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.198740e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.72          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.202369e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.73          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.205959e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.74          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.209509e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.75          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.213018e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.76          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.216488e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.77          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.219918e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.78          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.223309e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.79          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.226661e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.8           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.229973e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.81          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.233247e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.82          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.236482e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.83          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.239679e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.84          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.242838e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.85          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.245959e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.86          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.249043e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.87          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.252090e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.88          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.255099e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.89          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.258073e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.9           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.261010e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.91          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.263912e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.92          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.266778e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.93          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.269609e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.94          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.272405e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.95          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.275168e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.96          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.277896e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.97          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.280591e+01	(-5.986152e-04 1.330649e-05 5.000000e-02)
0.98          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.283257e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
0.99          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.285912e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1             	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.288537e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.01          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.291131e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.02          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.293695e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.03          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.296229e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.04          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.298733e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.05          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.301208e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.06          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.303654e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.07          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.306072e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.08          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.308461e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.09          	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.310823e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
1.1           	mag(U)        	0.000000e+00	(4.857083e-04 0.000000e+00 5.000000e-02)	7.313157e+01	(-5.986152e-04 1.239656e-05 5.000000e-02)
