# Wall shear stress
# Time        	patch         	min           	max           
0.5           	topWall	(-3.242268e-09 -2.484516e-06 0.000000e+00)	(1.093942e-08 -2.341120e-08 0.000000e+00)
0.5           	bottomWall	(-2.133428e+01 -2.559982e-01 0.000000e+00)	(-4.901208e+00 5.472752e-02 0.000000e+00)
1             	topWall	(-9.587021e-10 -2.964122e-06 0.000000e+00)	(1.172316e-08 -2.511522e-08 0.000000e+00)
1             	bottomWall	(-2.133260e+01 -2.561747e-01 0.000000e+00)	(-5.050769e+00 5.899112e-02 0.000000e+00)
1.5           	topWall	(-1.334395e-09 -3.305458e-06 0.000000e+00)	(1.175166e-08 -2.520885e-08 0.000000e+00)
1.5           	bottomWall	(-2.133243e+01 -2.562157e-01 0.000000e+00)	(-5.296445e+00 5.940335e-02 0.000000e+00)
2             	topWall	(-5.673376e-10 -3.437744e-06 0.000000e+00)	(1.172985e-08 -2.516720e-08 0.000000e+00)
2             	bottomWall	(-2.133256e+01 -2.562113e-01 0.000000e+00)	(-5.397052e+00 5.922735e-02 0.000000e+00)
2.5           	topWall	(9.475105e-11 -3.670571e-06 0.000000e+00)	(1.167173e-08 -2.504185e-08 0.000000e+00)
2.5           	bottomWall	(-2.133261e+01 -2.562110e-01 0.000000e+00)	(-5.517232e+00 5.923542e-02 0.000000e+00)
3             	topWall	(-1.618655e-10 -3.462719e-06 0.000000e+00)	(1.164912e-08 -2.498553e-08 0.000000e+00)
3             	bottomWall	(-2.133263e+01 -2.562112e-01 0.000000e+00)	(-5.653101e+00 5.923669e-02 0.000000e+00)
3.5           	topWall	(-3.448858e-10 -3.358610e-06 0.000000e+00)	(1.163586e-08 -2.495624e-08 0.000000e+00)
3.5           	bottomWall	(-2.133264e+01 -2.562112e-01 0.000000e+00)	(-5.727169e+00 5.923672e-02 0.000000e+00)
4             	topWall	(-4.401650e-10 -3.305610e-06 0.000000e+00)	(1.162856e-08 -2.493993e-08 0.000000e+00)
4             	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.766559e+00 5.923674e-02 0.000000e+00)
4.5           	topWall	(-4.899668e-10 -3.277937e-06 0.000000e+00)	(1.162464e-08 -2.493104e-08 0.000000e+00)
4.5           	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.787089e+00 5.923674e-02 0.000000e+00)
5             	topWall	(-5.092728e-10 -3.265156e-06 0.000000e+00)	(1.162255e-08 -2.492641e-08 0.000000e+00)
5             	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.797720e+00 5.923674e-02 0.000000e+00)
5.5           	topWall	(-5.195349e-10 -3.258653e-06 0.000000e+00)	(1.162153e-08 -2.492410e-08 0.000000e+00)
5.5           	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.803600e+00 5.923674e-02 0.000000e+00)
6             	topWall	(-5.295569e-10 -3.253200e-06 0.000000e+00)	(1.162115e-08 -2.492323e-08 0.000000e+00)
6             	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.807057e+00 5.923675e-02 0.000000e+00)
6.5           	topWall	(-5.364576e-10 -3.249665e-06 0.000000e+00)	(1.162097e-08 -2.492283e-08 0.000000e+00)
6.5           	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.808883e+00 5.923675e-02 0.000000e+00)
7             	topWall	(-5.397613e-10 -3.248185e-06 0.000000e+00)	(1.162091e-08 -2.492267e-08 0.000000e+00)
7             	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.809744e+00 5.923675e-02 0.000000e+00)
7.5           	topWall	(-5.410021e-10 -3.247882e-06 0.000000e+00)	(1.162089e-08 -2.492262e-08 0.000000e+00)
7.5           	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810095e+00 5.923675e-02 0.000000e+00)
8             	topWall	(-5.414656e-10 -3.247673e-06 0.000000e+00)	(1.162088e-08 -2.492260e-08 0.000000e+00)
8             	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810269e+00 5.923675e-02 0.000000e+00)
8.5           	topWall	(-5.416410e-10 -3.247585e-06 0.000000e+00)	(1.162087e-08 -2.492260e-08 0.000000e+00)
8.5           	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810354e+00 5.923674e-02 0.000000e+00)
9             	topWall	(-5.416983e-10 -3.247556e-06 0.000000e+00)	(1.162087e-08 -2.492260e-08 0.000000e+00)
9             	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810375e+00 5.923674e-02 0.000000e+00)
9.5           	topWall	(-5.417053e-10 -3.247552e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
9.5           	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810373e+00 5.923674e-02 0.000000e+00)
10            	topWall	(-5.417045e-10 -3.247553e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
10            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
10.5          	topWall	(-5.417063e-10 -3.247552e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
10.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
11            	topWall	(-5.417075e-10 -3.247551e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
11            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
11.5          	topWall	(-5.417080e-10 -3.247551e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
11.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
12            	topWall	(-5.417083e-10 -3.247551e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
12            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
12.5          	topWall	(-5.417085e-10 -3.247551e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
12.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
13            	topWall	(-5.417085e-10 -3.247551e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
13            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
13.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
13.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
14            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
14            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
14.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
14.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
15            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
15            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
15.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
15.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
16            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
16            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
16.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
16.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
17            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
17            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
17.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
17.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
18            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
18            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
18.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
18.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
19            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
19            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
19.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
19.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
20            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
20            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
20.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
20.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
21            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
