# Wall shear stress
# Time        	patch         	min           	max           
0.5           	topWall	(-2.603789e-10 -3.012203e-08 0.000000e+00)	(7.779616e-10 -1.044360e-11 0.000000e+00)
0.5           	bottomWall	(-6.026321e+01 -8.976852e-01 0.000000e+00)	(-4.657442e+01 1.842538e-04 0.000000e+00)
1             	topWall	(-3.770428e-10 -4.763129e-08 0.000000e+00)	(1.266589e-09 -8.672153e-10 0.000000e+00)
1             	bottomWall	(-4.926482e+01 -9.201693e-01 0.000000e+00)	(-2.758935e+01 8.723709e-05 0.000000e+00)
1.5           	topWall	(-5.810954e-10 -7.351298e-08 0.000000e+00)	(1.886608e-09 -1.299387e-09 0.000000e+00)
1.5           	bottomWall	(-4.776966e+01 -9.379114e-01 0.000000e+00)	(-2.000131e+01 5.754664e-06 0.000000e+00)
2             	topWall	(-8.259530e-10 -1.066128e-07 0.000000e+00)	(2.658890e-09 -1.828300e-09 0.000000e+00)
2             	bottomWall	(-4.789546e+01 -9.501653e-01 0.000000e+00)	(-1.533214e+01 1.437024e-07 0.000000e+00)
2.5           	topWall	(-1.085596e-09 -1.464039e-07 0.000000e+00)	(3.504645e-09 -2.418824e-09 0.000000e+00)
2.5           	bottomWall	(-4.822448e+01 -9.580405e-01 0.000000e+00)	(-1.227339e+01 1.074890e-07 0.000000e+00)
3             	topWall	(-1.337263e-09 -1.915145e-07 0.000000e+00)	(4.407526e-09 -3.054352e-09 0.000000e+00)
3             	bottomWall	(-4.848782e+01 -9.628463e-01 0.000000e+00)	(-1.011043e+01 7.976294e-08 0.000000e+00)
3.5           	topWall	(-1.593522e-09 -2.429471e-07 0.000000e+00)	(5.451081e-09 -3.785617e-09 0.000000e+00)
3.5           	bottomWall	(-4.865712e+01 -9.656182e-01 0.000000e+00)	(-8.500119e+00 5.509215e-08 0.000000e+00)
4             	topWall	(-1.883479e-09 -3.026768e-07 0.000000e+00)	(6.563486e-09 -4.568604e-09 0.000000e+00)
4             	bottomWall	(-4.875219e+01 -9.670938e-01 0.000000e+00)	(-7.263659e+00 1.206874e-08 0.000000e+00)
4.5           	topWall	(-2.159148e-09 -3.663186e-07 0.000000e+00)	(7.728522e-09 -5.386455e-09 0.000000e+00)
4.5           	bottomWall	(-4.879727e+01 -9.677737e-01 0.000000e+00)	(-6.348795e+00 1.895835e-09 0.000000e+00)
5             	topWall	(-2.432674e-09 -4.360200e-07 0.000000e+00)	(8.951977e-09 -6.244837e-09 0.000000e+00)
5             	bottomWall	(-4.881150e+01 -9.679862e-01 0.000000e+00)	(-5.832263e+00 1.933042e-05 0.000000e+00)
5.5           	topWall	(-2.707256e-09 -5.114238e-07 0.000000e+00)	(1.022454e-08 -7.138165e-09 0.000000e+00)
5.5           	bottomWall	(-4.880804e+01 -9.679393e-01 0.000000e+00)	(-5.688101e+00 7.261279e-05 0.000000e+00)
6             	topWall	(-2.975415e-09 -5.921682e-07 0.000000e+00)	(1.153334e-08 -8.057638e-09 0.000000e+00)
6             	bottomWall	(-4.879535e+01 -9.677606e-01 0.000000e+00)	(-5.760228e+00 1.242942e-04 0.000000e+00)
6.5           	topWall	(-3.233097e-09 -6.775010e-07 0.000000e+00)	(1.286263e-08 -8.991299e-09 0.000000e+00)
6.5           	bottomWall	(-4.877857e+01 -9.675250e-01 0.000000e+00)	(-5.922653e+00 1.764509e-04 0.000000e+00)
7             	topWall	(-3.477006e-09 -7.664996e-07 0.000000e+00)	(1.419559e-08 -9.923468e-09 0.000000e+00)
7             	bottomWall	(-4.876062e+01 -9.672742e-01 0.000000e+00)	(-6.107528e+00 2.150994e-04 0.000000e+00)
7.5           	topWall	(-3.705849e-09 -8.582722e-07 0.000000e+00)	(1.554691e-08 -1.087598e-08 0.000000e+00)
7.5           	bottomWall	(-4.874307e+01 -9.670298e-01 0.000000e+00)	(-6.282130e+00 2.405558e-04 0.000000e+00)
8             	topWall	(-3.914425e-09 -9.519332e-07 0.000000e+00)	(1.683946e-08 -1.180335e-08 0.000000e+00)
