# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	topWall	3.476575e-02	3.661611e-01	3.087400e-01
0.5           	bottomWall	2.424249e+01	5.057064e+01	2.930566e+01
1             	topWall	3.601040e-02	3.999293e-01	3.397796e-01
1             	bottomWall	2.460959e+01	5.056865e+01	3.011977e+01
1.5           	topWall	3.608091e-02	4.223245e-01	3.494153e-01
1.5           	bottomWall	2.520101e+01	5.056845e+01	3.041402e+01
2             	topWall	3.604351e-02	4.282056e-01	3.526903e-01
2             	bottomWall	2.543923e+01	5.056860e+01	3.055624e+01
2.5           	topWall	3.595956e-02	4.331005e-01	3.525345e-01
2.5           	bottomWall	2.572090e+01	5.056866e+01	3.064275e+01
3             	topWall	3.591683e-02	4.220160e-01	3.503536e-01
3             	bottomWall	2.603568e+01	5.056869e+01	3.068757e+01
3.5           	topWall	3.589561e-02	4.200523e-01	3.492589e-01
3.5           	bottomWall	2.620569e+01	5.056870e+01	3.070921e+01
4             	topWall	3.588380e-02	4.192200e-01	3.487048e-01
4             	bottomWall	2.629565e+01	5.056871e+01	3.071972e+01
4.5           	topWall	3.587733e-02	4.187837e-01	3.484077e-01
4.5           	bottomWall	2.634242e+01	5.056871e+01	3.072485e+01
5             	topWall	3.587400e-02	4.185214e-01	3.482570e-01
5             	bottomWall	2.636660e+01	5.056871e+01	3.072740e+01
5.5           	topWall	3.587235e-02	4.183474e-01	3.481716e-01
5.5           	bottomWall	2.637997e+01	5.056871e+01	3.072871e+01
6             	topWall	3.587169e-02	4.182822e-01	3.481163e-01
6             	bottomWall	2.638783e+01	5.056871e+01	3.072934e+01
6.5           	topWall	3.587140e-02	4.182474e-01	3.480876e-01
6.5           	bottomWall	2.639197e+01	5.056871e+01	3.072960e+01
7             	topWall	3.587129e-02	4.182301e-01	3.480765e-01
7             	bottomWall	2.639393e+01	5.056871e+01	3.072971e+01
7.5           	topWall	3.587125e-02	4.182242e-01	3.480723e-01
7.5           	bottomWall	2.639473e+01	5.056871e+01	3.072975e+01
8             	topWall	3.587124e-02	4.182221e-01	3.480706e-01
8             	bottomWall	2.639512e+01	5.056871e+01	3.072976e+01
8.5           	topWall	3.587123e-02	4.182213e-01	3.480700e-01
8.5           	bottomWall	2.639532e+01	5.056871e+01	3.072977e+01
9             	topWall	3.587123e-02	4.182211e-01	3.480698e-01
9             	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
9.5           	topWall	3.587123e-02	4.182210e-01	3.480697e-01
9.5           	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
10            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
10            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
10.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
10.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
11            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
11            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
11.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
11.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
12            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
12            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
12.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
12.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
13            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
13            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
13.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
13.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
14            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
14            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
14.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
14.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
15            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
15            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
15.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
15.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
16            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
16            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
16.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
16.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
17            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
17            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
17.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
17.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
18            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
18            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
18.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
18.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
19            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
19            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
19.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
19.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
20            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
20            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
20.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
20.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
21            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
21            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
21.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
21.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
22            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
22            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
22.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
22.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
23            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
23            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
23.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
23.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
24            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
24            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
24.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
24.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
25            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
25            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
25.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
25.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
26            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
26            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
26.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
26.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
27            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
27            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
27.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
27.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
28            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
28            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
28.5          	topWall	3.587123e-02	4.182210e-01	3.480697e-01
28.5          	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
29            	topWall	3.587123e-02	4.182210e-01	3.480697e-01
29            	bottomWall	2.639536e+01	5.056871e+01	3.072977e+01
