# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	topWall	2.917490e-03	1.225485e-01	9.681952e-02
0.5           	bottomWall	1.366080e-01	1.553941e-01	1.385165e-01
1             	topWall	2.014818e-02	1.544249e-01	1.235998e-01
1             	bottomWall	1.051412e-01	1.405013e-01	1.064757e-01
1.5           	topWall	2.477385e-02	1.918434e-01	1.541003e-01
1.5           	bottomWall	8.952230e-02	1.383531e-01	8.970895e-02
2             	topWall	2.942409e-02	2.310291e-01	1.864631e-01
2             	bottomWall	7.837968e-02	1.385352e-01	7.860908e-02
2.5           	topWall	3.389079e-02	2.707335e-01	2.207380e-01
2.5           	bottomWall	7.012683e-02	1.390103e-01	7.044908e-02
3             	topWall	3.809102e-02	3.096505e-01	2.557059e-01
3             	bottomWall	6.364829e-02	1.393893e-01	6.408549e-02
3.5           	topWall	4.238669e-02	3.486636e-01	2.913135e-01
3.5           	bottomWall	5.835990e-02	1.396324e-01	5.893921e-02
4             	topWall	4.659594e-02	3.892057e-01	3.279769e-01
4             	bottomWall	5.394855e-02	1.397687e-01	5.473579e-02
4.5           	topWall	5.061499e-02	4.282693e-01	3.635235e-01
4.5           	bottomWall	5.043682e-02	1.398334e-01	5.166834e-02
5             	topWall	5.451909e-02	4.672451e-01	3.990881e-01
5             	bottomWall	4.834155e-02	1.398537e-01	5.024571e-02
5.5           	topWall	5.831356e-02	5.060407e-01	4.342985e-01
5.5           	bottomWall	4.774036e-02	1.398488e-01	5.023558e-02
6             	topWall	6.197602e-02	5.445285e-01	4.690939e-01
6             	bottomWall	4.804209e-02	1.398306e-01	5.094447e-02
6.5           	topWall	6.549068e-02	5.824456e-01	5.032953e-01
6.5           	bottomWall	4.871471e-02	1.398066e-01	5.188435e-02
7             	topWall	6.882525e-02	6.195260e-01	5.365532e-01
7             	bottomWall	4.946918e-02	1.397808e-01	5.281677e-02
7.5           	topWall	7.201070e-02	6.555744e-01	5.687400e-01
7.5           	bottomWall	5.017131e-02	1.397557e-01	5.364360e-02
8             	topWall	7.505702e-02	6.904237e-01	5.997145e-01
8             	bottomWall	5.076810e-02	1.397321e-01	5.433577e-02
8.5           	topWall	7.789741e-02	7.239778e-01	6.293803e-01
8.5           	bottomWall	5.124701e-02	1.397105e-01	5.489671e-02
9             	topWall	8.057071e-02	7.561960e-01	6.577142e-01
9             	bottomWall	5.161550e-02	1.396909e-01	5.534331e-02
9.5           	topWall	8.322319e-02	7.870445e-01	6.847113e-01
9.5           	bottomWall	5.188833e-02	1.396732e-01	5.569566e-02
10            	topWall	8.535030e-02	8.165976e-01	7.103967e-01
10            	bottomWall	5.208195e-02	1.396571e-01	5.597250e-02
10.5          	topWall	8.752633e-02	8.448402e-01	7.347804e-01
10.5          	bottomWall	5.221088e-02	1.396425e-01	5.618951e-02
11            	topWall	8.961652e-02	8.717837e-01	7.579023e-01
11            	bottomWall	5.228770e-02	1.396290e-01	5.635928e-02
11.5          	topWall	9.166873e-02	8.974543e-01	7.797735e-01
11.5          	bottomWall	5.232270e-02	1.396167e-01	5.649180e-02
12            	topWall	9.324193e-02	9.218760e-01	8.004563e-01
12            	bottomWall	5.232409e-02	1.396052e-01	5.659491e-02
12.5          	topWall	9.484911e-02	9.450340e-01	8.199572e-01
12.5          	bottomWall	5.229852e-02	1.395946e-01	5.667478e-02
13            	topWall	9.639742e-02	9.669862e-01	8.382938e-01
13            	bottomWall	5.225137e-02	1.395847e-01	5.673626e-02
13.5          	topWall	9.781268e-02	9.877395e-01	8.555130e-01
13.5          	bottomWall	5.218601e-02	1.395755e-01	5.678302e-02
14            	topWall	9.930289e-02	1.007325e+00	8.716525e-01
14            	bottomWall	5.210378e-02	1.395668e-01	5.681757e-02
14.5          	topWall	1.002959e-01	1.025768e+00	8.867524e-01
14.5          	bottomWall	5.200609e-02	1.395586e-01	5.684165e-02
15            	topWall	1.015621e-01	1.043109e+00	9.008405e-01
15            	bottomWall	5.189543e-02	1.395509e-01	5.685674e-02
15.5          	topWall	1.023891e-01	1.059366e+00	9.139591e-01
15.5          	bottomWall	5.177483e-02	1.395437e-01	5.686414e-02
16            	topWall	1.034288e-01	1.074598e+00	9.261448e-01
16            	bottomWall	5.164729e-02	1.395368e-01	5.686516e-02
16.5          	topWall	1.042684e-01	1.088820e+00	9.374421e-01
16.5          	bottomWall	5.151547e-02	1.395303e-01	5.686122e-02
17            	topWall	1.049966e-01	1.102093e+00	9.478976e-01
17            	bottomWall	5.138160e-02	1.395242e-01	5.685361e-02
17.5          	topWall	1.055752e-01	1.114447e+00	9.575524e-01
17.5          	bottomWall	5.124751e-02	1.395183e-01	5.684348e-02
18            	topWall	1.062884e-01	1.125946e+00	9.664549e-01
18            	bottomWall	5.111466e-02	1.395128e-01	5.683173e-02
18.5          	topWall	1.068066e-01	1.136626e+00	9.746480e-01
18.5          	bottomWall	5.098418e-02	1.395075e-01	5.681910e-02
19            	topWall	1.072284e-01	1.146536e+00	9.821835e-01
19            	bottomWall	5.085697e-02	1.395024e-01	5.680613e-02
19.5          	topWall	1.077458e-01	1.155732e+00	9.891056e-01
19.5          	bottomWall	5.073368e-02	1.394976e-01	5.679322e-02
20            	topWall	1.081160e-01	1.164244e+00	9.954535e-01
20            	bottomWall	5.061483e-02	1.394931e-01	5.678065e-02
20.5          	topWall	1.084143e-01	1.172133e+00	1.001279e+00
20.5          	bottomWall	5.050076e-02	1.394887e-01	5.676861e-02
21            	topWall	1.087453e-01	1.179440e+00	1.006620e+00
21            	bottomWall	5.039168e-02	1.394845e-01	5.675724e-02
21.5          	topWall	1.090248e-01	1.186210e+00	1.011516e+00
21.5          	bottomWall	5.028772e-02	1.394805e-01	5.674660e-02
22            	topWall	1.092757e-01	1.192483e+00	1.016010e+00
22            	bottomWall	5.018891e-02	1.394767e-01	5.673672e-02
22.5          	topWall	1.094987e-01	1.198298e+00	1.020135e+00
22.5          	bottomWall	5.009524e-02	1.394730e-01	5.672759e-02
23            	topWall	1.096977e-01	1.203699e+00	1.023924e+00
23            	bottomWall	5.000662e-02	1.394695e-01	5.671922e-02
23.5          	topWall	1.098755e-01	1.208718e+00	1.027410e+00
23.5          	bottomWall	4.992294e-02	1.394662e-01	5.671155e-02
24            	topWall	1.100343e-01	1.213384e+00	1.030617e+00
24            	bottomWall	4.984405e-02	1.394629e-01	5.670455e-02
24.5          	topWall	1.101761e-01	1.217728e+00	1.033573e+00
24.5          	bottomWall	4.976976e-02	1.394598e-01	5.669816e-02
25            	topWall	1.103029e-01	1.221775e+00	1.036300e+00
25            	bottomWall	4.969989e-02	1.394569e-01	5.669235e-02
25.5          	topWall	1.104226e-01	1.225552e+00	1.038818e+00
25.5          	bottomWall	4.963425e-02	1.394540e-01	5.668704e-02
26            	topWall	1.105233e-01	1.229078e+00	1.041145e+00
26            	bottomWall	4.957260e-02	1.394512e-01	5.668220e-02
26.5          	topWall	1.106133e-01	1.232372e+00	1.043298e+00
26.5          	bottomWall	4.951474e-02	1.394486e-01	5.667777e-02
27            	topWall	1.106942e-01	1.235453e+00	1.045292e+00
27            	bottomWall	4.946044e-02	1.394460e-01	5.667370e-02
27.5          	topWall	1.107663e-01	1.238340e+00	1.047141e+00
27.5          	bottomWall	4.940950e-02	1.394435e-01	5.666995e-02
28            	topWall	1.108309e-01	1.241046e+00	1.048856e+00
28            	bottomWall	4.936172e-02	1.394411e-01	5.666649e-02
28.5          	topWall	1.108887e-01	1.243583e+00	1.050450e+00
28.5          	bottomWall	4.931691e-02	1.394388e-01	5.666327e-02
29            	topWall	1.109402e-01	1.245962e+00	1.051931e+00
29            	bottomWall	4.927487e-02	1.394366e-01	5.666027e-02
29.5          	topWall	1.109868e-01	1.248195e+00	1.053309e+00
29.5          	bottomWall	4.923543e-02	1.394345e-01	5.665746e-02
30            	topWall	1.110283e-01	1.250301e+00	1.054593e+00
30            	bottomWall	4.919837e-02	1.394324e-01	5.665482e-02
30.5          	topWall	1.110655e-01	1.252284e+00	1.055793e+00
30.5          	bottomWall	4.916348e-02	1.394304e-01	5.665232e-02
31            	topWall	1.110978e-01	1.254150e+00	1.056914e+00
31            	bottomWall	4.913053e-02	1.394285e-01	5.664992e-02
31.5          	topWall	1.111287e-01	1.255915e+00	1.057961e+00
31.5          	bottomWall	4.909933e-02	1.394266e-01	5.664761e-02
32            	topWall	1.111553e-01	1.257575e+00	1.058940e+00
32            	bottomWall	4.906971e-02	1.394248e-01	5.664537e-02
32.5          	topWall	1.111789e-01	1.259138e+00	1.059854e+00
32.5          	bottomWall	4.904155e-02	1.394231e-01	5.664319e-02
33            	topWall	1.112000e-01	1.260613e+00	1.060708e+00
33            	bottomWall	4.901476e-02	1.394214e-01	5.664107e-02
33.5          	topWall	1.112187e-01	1.261995e+00	1.061505e+00
33.5          	bottomWall	4.898925e-02	1.394198e-01	5.663900e-02
34            	topWall	1.112351e-01	1.263301e+00	1.062248e+00
34            	bottomWall	4.896498e-02	1.394182e-01	5.663699e-02
34.5          	topWall	1.112496e-01	1.264519e+00	1.062940e+00
34.5          	bottomWall	4.894192e-02	1.394167e-01	5.663504e-02
35            	topWall	1.112623e-01	1.265664e+00	1.063583e+00
35            	bottomWall	4.892008e-02	1.394152e-01	5.663316e-02
35.5          	topWall	1.112735e-01	1.266733e+00	1.064181e+00
35.5          	bottomWall	4.889945e-02	1.394138e-01	5.663136e-02
36            	topWall	1.112833e-01	1.267740e+00	1.064739e+00
36            	bottomWall	4.887997e-02	1.394124e-01	5.662964e-02
36.5          	topWall	1.112920e-01	1.268681e+00	1.065260e+00
36.5          	bottomWall	4.886158e-02	1.394111e-01	5.662801e-02
37            	topWall	1.112995e-01	1.269570e+00	1.065746e+00
37            	bottomWall	4.884419e-02	1.394098e-01	5.662646e-02
37.5          	topWall	1.113060e-01	1.270399e+00	1.066199e+00
37.5          	bottomWall	4.882773e-02	1.394085e-01	5.662498e-02
38            	topWall	1.113117e-01	1.271178e+00	1.066621e+00
38            	bottomWall	4.881217e-02	1.394073e-01	5.662358e-02
38.5          	topWall	1.113165e-01	1.271903e+00	1.067013e+00
38.5          	bottomWall	4.879749e-02	1.394061e-01	5.662224e-02
39            	topWall	1.113206e-01	1.272578e+00	1.067376e+00
39            	bottomWall	4.878368e-02	1.394050e-01	5.662097e-02
39.5          	topWall	1.113242e-01	1.273214e+00	1.067715e+00
39.5          	bottomWall	4.877070e-02	1.394039e-01	5.661978e-02
40            	topWall	1.113272e-01	1.273806e+00	1.068031e+00
40            	bottomWall	4.875850e-02	1.394028e-01	5.661866e-02
40.5          	topWall	1.113298e-01	1.274360e+00	1.068325e+00
40.5          	bottomWall	4.874702e-02	1.394018e-01	5.661760e-02
41            	topWall	1.113320e-01	1.274880e+00	1.068599e+00
41            	bottomWall	4.873622e-02	1.394008e-01	5.661660e-02
41.5          	topWall	1.113337e-01	1.275363e+00	1.068853e+00
41.5          	bottomWall	4.872608e-02	1.393998e-01	5.661566e-02
42            	topWall	1.113350e-01	1.275811e+00	1.069090e+00
42            	bottomWall	4.871656e-02	1.393989e-01	5.661477e-02
42.5          	topWall	1.113362e-01	1.276235e+00	1.069311e+00
42.5          	bottomWall	4.870761e-02	1.393980e-01	5.661393e-02
43            	topWall	1.113367e-01	1.276630e+00	1.069517e+00
43            	bottomWall	4.869920e-02	1.393971e-01	5.661314e-02
43.5          	topWall	1.113380e-01	1.276994e+00	1.069708e+00
43.5          	bottomWall	4.869131e-02	1.393962e-01	5.661239e-02
44            	topWall	1.113384e-01	1.277333e+00	1.069885e+00
44            	bottomWall	4.868392e-02	1.393954e-01	5.661169e-02
44.5          	topWall	1.113388e-01	1.277653e+00	1.070050e+00
44.5          	bottomWall	4.867699e-02	1.393946e-01	5.661102e-02
45            	topWall	1.113391e-01	1.277949e+00	1.070204e+00
45            	bottomWall	4.867050e-02	1.393938e-01	5.661040e-02
45.5          	topWall	1.113392e-01	1.278225e+00	1.070347e+00
45.5          	bottomWall	4.866443e-02	1.393930e-01	5.660981e-02
46            	topWall	1.113392e-01	1.278480e+00	1.070480e+00
46            	bottomWall	4.865874e-02	1.393923e-01	5.660925e-02
46.5          	topWall	1.113391e-01	1.278717e+00	1.070603e+00
46.5          	bottomWall	4.865342e-02	1.393916e-01	5.660872e-02
47            	topWall	1.113390e-01	1.278939e+00	1.070718e+00
47            	bottomWall	4.864843e-02	1.393909e-01	5.660822e-02
47.5          	topWall	1.113387e-01	1.279146e+00	1.070825e+00
47.5          	bottomWall	4.864378e-02	1.393902e-01	5.660774e-02
48            	topWall	1.113385e-01	1.279337e+00	1.070924e+00
48            	bottomWall	4.863943e-02	1.393896e-01	5.660729e-02
48.5          	topWall	1.113381e-01	1.279514e+00	1.071016e+00
48.5          	bottomWall	4.863537e-02	1.393889e-01	5.660686e-02
49            	topWall	1.113377e-01	1.279678e+00	1.071101e+00
49            	bottomWall	4.863159e-02	1.393883e-01	5.660646e-02
49.5          	topWall	1.113374e-01	1.279830e+00	1.071181e+00
49.5          	bottomWall	4.862807e-02	1.393877e-01	5.660607e-02
50            	topWall	1.113369e-01	1.279970e+00	1.071254e+00
50            	bottomWall	4.862478e-02	1.393871e-01	5.660570e-02
50.5          	topWall	1.113366e-01	1.280100e+00	1.071322e+00
50.5          	bottomWall	4.862173e-02	1.393866e-01	5.660535e-02
51            	topWall	1.113361e-01	1.280223e+00	1.071386e+00
51            	bottomWall	4.861890e-02	1.393860e-01	5.660502e-02
51.5          	topWall	1.113356e-01	1.280335e+00	1.071444e+00
51.5          	bottomWall	4.861627e-02	1.393855e-01	5.660470e-02
52            	topWall	1.113353e-01	1.280440e+00	1.071499e+00
52            	bottomWall	4.861383e-02	1.393850e-01	5.660440e-02
52.5          	topWall	1.113350e-01	1.280537e+00	1.071549e+00
