# ccx tau_xx tau_yy tau_zz
0.000485708 -48.4803 -0.963371 0
0.00145827 -19.7346 -0.00514864 0
0.00243313 -14.3359 -0.00113231 0
0.00341029 -12.0343 -0.000542776 0
0.00438975 -10.6387 -0.000347394 0
0.00537153 -9.66237 -0.000248571 0
0.00635563 -8.93744 -0.000183747 0
0.00734204 -8.40173 -0.000127711 0
0.00833079 -8.0595 -5.80213e-05 0
0.00932187 -8.00309 5.19603e-05 0
0.0103153 -8.42197 0.000233541 0
0.011311 -9.62474 0.00033847 0
0.0123092 -10.7702 0.000271978 0
0.0133096 -11.5132 0.000166455 0
0.0143125 -11.9294 9.24009e-05 0
0.0153177 -12.1586 4.95164e-05 0
0.0163252 -12.2762 2.32727e-05 0
0.0173352 -12.3219 5.52253e-06 0
0.0183475 -12.3149 -6.23904e-06 0
0.0193622 -12.2778 -1.33309e-05 0
0.0203793 -12.2206 -1.7977e-05 0
0.0213988 -12.1503 -2.07371e-05 0
0.0224208 -12.0732 -2.20705e-05 0
0.0234451 -11.9931 -2.2565e-05 0
0.0244718 -11.9121 -2.25571e-05 0
0.025501 -11.8317 -2.22674e-05 0
0.0265326 -11.7524 -2.18008e-05 0
0.0275667 -11.6749 -2.12003e-05 0
0.0286031 -11.5996 -2.0537e-05 0
0.0296421 -11.5265 -1.98501e-05 0
0.0306834 -11.4558 -1.91599e-05 0
0.0317273 -11.3874 -1.84792e-05 0
0.0327736 -11.3213 -1.78178e-05 0
0.0338223 -11.2575 -1.71792e-05 0
0.0348736 -11.1957 -1.65734e-05 0
0.0359273 -11.136 -1.60057e-05 0
0.0369835 -11.0782 -1.54603e-05 0
0.0380422 -11.0222 -1.49302e-05 0
0.0391034 -10.968 -1.44242e-05 0
0.0401671 -10.9155 -1.39438e-05 0
0.0412333 -10.8646 -1.34879e-05 0
0.0423021 -10.8152 -1.30552e-05 0
0.0433733 -10.7673 -1.26463e-05 0
0.0444471 -10.7208 -1.22576e-05 0
0.0455234 -10.6756 -1.1887e-05 0
0.0466023 -10.6316 -1.15346e-05 0
0.0476837 -10.5888 -1.12023e-05 0
0.0487676 -10.5471 -1.08837e-05 0
0.0498542 -10.5066 -1.05855e-05 0
0.0509432 -10.467 -1.03232e-05 0
0.0520349 -10.4282 -1.00894e-05 0
0.0531291 -10.3902 -9.86882e-06 0
0.0542259 -10.3529 -9.65561e-06 0
0.0553253 -10.3164 -9.44636e-06 0
0.0564273 -10.2805 -9.24025e-06 0
0.0575319 -10.2454 -9.03654e-06 0
0.0586391 -10.2109 -8.83748e-06 0
0.0597489 -10.1772 -8.64429e-06 0
0.0608614 -10.1441 -8.45615e-06 0
0.0619764 -10.1116 -8.27304e-06 0
0.0630941 -10.0797 -8.09619e-06 0
0.0642144 -10.0485 -7.92664e-06 0
0.0653374 -10.0178 -7.7617e-06 0
0.066463 -9.98774 -7.60105e-06 0
0.0675913 -9.9582 -7.44481e-06 0
0.0687222 -9.92918 -7.29526e-06 0
0.0698559 -9.90068 -7.15114e-06 0
0.0709921 -9.87267 -7.01174e-06 0
0.0721311 -9.84514 -6.87498e-06 0
0.0732728 -9.81808 -6.74565e-06 0
0.0744171 -9.79145 -6.62297e-06 0
0.0755642 -9.76525 -6.50069e-06 0
0.0767139 -9.73947 -6.38038e-06 0
0.0778664 -9.7141 -6.2645e-06 0
0.0790216 -9.68914 -6.15256e-06 0
0.0801795 -9.66456 -6.04222e-06 0
0.0813402 -9.64036 -5.93511e-06 0
0.0825035 -9.61654 -5.83041e-06 0
0.0836697 -9.59308 -5.72865e-06 0
0.0848386 -9.56996 -5.62997e-06 0
0.0860102 -9.5472 -5.53406e-06 0
0.0871846 -9.52476 -5.44074e-06 0
0.0883618 -9.50266 -5.35004e-06 0
0.0895418 -9.48086 -5.26166e-06 0
0.0907245 -9.45937 -5.17546e-06 0
0.0919101 -9.43818 -5.092e-06 0
0.0930984 -9.41729 -5.01038e-06 0
0.0942895 -9.39668 -4.93224e-06 0
0.0954835 -9.37633 -4.8557e-06 0
0.0966803 -9.35626 -4.78047e-06 0
0.0978799 -9.33645 -4.70768e-06 0
0.0990823 -9.31689 -4.63587e-06 0
0.100288 -9.29759 -4.56606e-06 0
0.101496 -9.27853 -4.49801e-06 0
0.102707 -9.25971 -4.43076e-06 0
