# ccx tau_xx tau_yy tau_zz
0.000485708 -21.3327 -0.145472 0
0.00145827 -20.5009 -0.207287 0
0.00243313 -19.5938 -0.239504 0
0.00341029 -18.6593 -0.25313 0
0.00438975 -17.7253 -0.256211 0
0.00537153 -16.8077 -0.253056 0
0.00635563 -15.9122 -0.246138 0
0.00734204 -15.0406 -0.23696 0
0.00833079 -14.1941 -0.226373 0
0.00932187 -13.3747 -0.214851 0
0.0103153 -12.5845 -0.20258 0
0.011311 -11.8264 -0.189644 0
0.0123092 -11.1054 -0.176113 0
0.0133096 -10.4296 -0.162258 0
0.0143125 -9.81067 -0.14728 0
0.0153177 -9.25696 -0.129502 0
0.0163252 -8.77677 -0.109017 0
0.0173352 -8.37107 -0.0867469 0
0.0183475 -8.04096 -0.0642601 0
0.0193622 -7.77912 -0.0433779 0
0.0203793 -7.5773 -0.0249076 0
0.0213988 -7.42876 -0.00889888 0
0.0224208 -7.32732 0.00481844 0
0.0234451 -7.26721 0.0164886 0
0.0244718 -7.24353 0.0262857 0
0.025501 -7.25062 0.0342875 0
0.0265326 -7.28374 0.0407093 0
0.0275667 -7.33883 0.0458231 0
0.0286031 -7.41252 0.0498648 0
0.0296421 -7.50168 0.0530209 0
0.0306834 -7.60373 0.0554359 0
0.0317273 -7.71624 0.0572063 0
0.0327736 -7.83712 0.0583981 0
0.0338223 -7.96427 0.0590628 0
0.0348736 -8.09593 0.0592367 0
0.0359273 -8.23026 0.0589494 0
0.0369835 -8.36575 0.0582291 0
0.0380422 -8.50083 0.0571077 0
0.0391034 -8.63431 0.0556189 0
0.0401671 -8.76492 0.0538009 0
0.0412333 -8.89177 0.0516949 0
0.0423021 -9.01389 0.0493465 0
0.0433733 -9.13073 0.0468017 0
0.0444471 -9.24163 0.0441081 0
0.0455234 -9.34631 0.0413113 0
0.0466023 -9.44437 0.0384562 0
0.0476837 -9.53579 0.0355821 0
0.0487676 -9.62037 0.0327269 0
0.0498542 -9.69828 0.02992 0
0.0509432 -9.76943 0.0271915 0
0.0520349 -9.83412 0.0245567 0
0.0531291 -9.89233 0.022029 0
0.0542259 -9.94439 0.0196477 0
0.0553253 -9.99058 0.0174132 0
0.0564273 -10.0311 0.0153196 0
0.0575319 -10.0662 0.0133711 0
0.0586391 -10.0961 0.0115711 0
0.0597489 -10.1211 0.00991978 0
0.0608614 -10.1416 0.00841452 0
0.0619764 -10.1577 0.00705166 0
0.0630941 -10.1699 0.00582563 0
0.0642144 -10.1783 0.00472541 0
0.0653374 -10.1833 0.00376239 0
0.066463 -10.1853 0.00283313 0
0.0675913 -10.1834 0.00185944 0
0.0687222 -10.1777 0.00092543 0
0.0698559 -10.1687 9.29318e-05 0
0.0709921 -10.157 -0.000612493 0
0.0721311 -10.143 -0.00118961 0
0.0732728 -10.1271 -0.00164799 0
0.0744171 -10.1098 -0.00200019 0
0.0755642 -10.0914 -0.00226057 0
0.0767139 -10.072 -0.00244485 0
0.0778664 -10.052 -0.00256862 0
0.0790216 -10.0314 -0.00264719 0
0.0801795 -10.0105 -0.00269426 0
0.0813402 -9.98923 -0.00272108 0
0.0825035 -9.96775 -0.00273656 0
0.0836697 -9.94607 -0.00274735 0
0.0848386 -9.92423 -0.00275796 0
0.0860102 -9.90226 -0.00277107 0
0.0871846 -9.88016 -0.00278783 0
0.0883618 -9.85796 -0.00280836 0
0.0895418 -9.83568 -0.00283216 0
0.0907245 -9.81332 -0.00285612 0
0.0919101 -9.79093 -0.00287445 0
0.0930984 -9.76855 -0.00288625 0
0.0942895 -9.74622 -0.00289524 0
0.0954835 -9.72395 -0.00290304 0
0.0966803 -9.70176 -0.00290947 0
0.0978799 -9.67965 -0.00291387 0
0.0990823 -9.65764 -0.00291586 0
0.100288 -9.63573 -0.00291509 0
0.101496 -9.61395 -0.00291185 0
0.102707 -9.59227 -0.002907 0
0.10392 -9.57072 -0.0028978 0
0.105137 -9.54931 -0.0028823 0
0.106357 -9.52807 -0.00286338 0
0.107579 -9.50701 -0.00284106 0
0.108804 -9.48614 -0.00281473 0
0.110033 -9.46547 -0.00278602 0
0.111264 -9.44499 -0.00275629 0
0.112498 -9.42471 -0.00272631 0
0.113735 -9.40462 -0.00269651 0
0.114975 -9.38473 -0.00266729 0
0.116217 -9.36501 -0.00263893 0
0.117463 -9.34548 -0.00261174 0
0.118712 -9.32612 -0.00258598 0
0.119963 -9.30692 -0.00256191 0
