# ccx y+
0.000485708 0.139378
0.00145827 0.0889236
0.00243313 0.0757906
0.00341029 0.0694405
0.00438975 0.0652899
0.00537153 0.062222
0.00635563 0.0598424
0.00734204 0.0580212
0.00833079 0.0568272
0.00932187 0.056628
0.0103153 0.058091
0.011311 0.0621007
0.0123092 0.0656923
0.0133096 0.0679203
0.0143125 0.0691372
0.0153177 0.069798
0.0163252 0.0701348
0.0173352 0.0702652
0.0183475 0.0702454
0.0193622 0.0701394
0.0203793 0.0699759
0.0213988 0.0697743
0.0224208 0.0695527
0.0234451 0.0693215
0.0244718 0.069087
0.025501 0.0688533
0.0265326 0.0686222
0.0275667 0.0683956
0.0286031 0.0681746
0.0296421 0.0679596
0.0306834 0.0677508
0.0317273 0.0675483
0.0327736 0.067352
0.0338223 0.0671618
0.0348736 0.0669774
0.0359273 0.0667985
0.0369835 0.0666248
0.0380422 0.0664562
0.0391034 0.0662926
0.0401671 0.0661338
0.0412333 0.0659794
0.0423021 0.0658294
0.0433733 0.0656834
0.0444471 0.0655413
0.0455234 0.065403
0.0466023 0.0652681
0.0476837 0.0651367
0.0487676 0.0650084
0.0498542 0.0648833
0.0509432 0.0647608
0.0520349 0.0646408
0.0531291 0.0645229
0.0542259 0.0644071
0.0553253 0.0642932
0.0564273 0.0641815
0.0575319 0.0640717
0.0586391 0.0639639
0.0597489 0.063858
0.0608614 0.0637541
0.0619764 0.0636519
0.0630941 0.0635517
0.0642144 0.0634531
0.0653374 0.0633562
0.066463 0.0632609
0.0675913 0.0631673
0.0687222 0.0630752
0.0698559 0.0629846
0.0709921 0.0628955
0.0721311 0.0628077
0.0732728 0.0627213
0.0744171 0.0626362
0.0755642 0.0625523
0.0767139 0.0624697
0.0778664 0.0623883
0.0790216 0.0623081
0.0801795 0.062229
0.0813402 0.0621511
0.0825035 0.0620742
0.0836697 0.0619985
0.0848386 0.0619237
0.0860102 0.06185
0.0871846 0.0617773
0.0883618 0.0617056
0.0895418 0.0616348
0.0907245 0.0615649
0.0919101 0.0614959
0.0930984 0.0614278
0.0942895 0.0613605
0.0954835 0.0612941
0.0966803 0.0612284
0.0978799 0.0611636
0.0990823 0.0610995
0.100288 0.0610362
0.101496 0.0609736
0.102707 0.0609117
0.10392 0.0608505
0.105137 0.06079
0.106357 0.0607303
0.107579 0.0606711
0.108804 0.0606126
0.110033 0.0605548
0.111264 0.0604974
0.112498 0.0604407
0.113735 0.0603846
0.114975 0.060329
0.116217 0.060274
0.117463 0.0602195
0.118712 0.0601656
0.119963 0.0601123
0.121218 0.0600594
0.122475 0.0600071
0.123736 0.0599553
0.124999 0.059904
0.126266 0.0598531
0.127535 0.0598027
0.128807 0.0597528
0.130083 0.0597034
0.131361 0.0596544
0.132643 0.0596059
0.133927 0.0595577
0.135215 0.0595101
0.136505 0.0594628
0.137799 0.0594159
0.139096 0.0593695
0.140395 0.0593234
0.141698 0.0592777
0.143004 0.0592324
0.144313 0.0591875
0.145625 0.059143
0.14694 0.0590988
0.148258 0.059055
0.149579 0.0590115
0.150904 0.0589684
0.152231 0.0589256
0.153562 0.0588832
0.154896 0.0588411
0.156233 0.0587993
0.157573 0.0587578
0.158916 0.0587166
0.160263 0.0586758
0.161613 0.0586352
0.162965 0.058595
0.164321 0.058555
0.165681 0.0585154
0.167043 0.058476
0.168409 0.0584369
0.169778 0.0583981
0.17115 0.0583596
0.172525 0.0583212
0.173904 0.0582832
0.175286 0.0582454
0.176671 0.0582078
0.178059 0.0581705
0.179451 0.0581335
0.180846 0.0580967
0.182244 0.0580601
0.183646 0.0580238
0.18505 0.0579877
0.186459 0.0579519
0.18787 0.0579163
0.189285 0.0578809
0.190703 0.0578458
0.192124 0.0578108
0.193549 0.0577761
0.194978 0.0577416
0.196409 0.0577073
0.197844 0.0576733
0.199282 0.0576394
0.200724 0.0576058
0.202169 0.0575723
0.203618 0.057539
0.20507 0.057506
0.206525 0.0574731
0.207903 0.0574423
0.209207 0.0574133
0.210526 0.0573841
0.211859 0.0573549
0.213207 0.0573256
0.214569 0.0572962
0.215947 0.0572667
0.217339 0.0572371
0.218746 0.0572074
0.220168 0.0571776
0.221606 0.0571477
0.22306 0.0571177
0.224529 0.0570876
0.226015 0.0570574
0.227516 0.0570271
0.229034 0.0569967
0.230569 0.0569663
0.23212 0.0569357
0.233687 0.0569051
0.235272 0.0568743
0.236875 0.0568435
0.238494 0.0568126
0.240131 0.0567816
0.241786 0.0567505
0.243459 0.0567193
0.24515 0.056688
0.24686 0.0566566
0.248588 0.0566252
0.250335 0.0565937
0.252101 0.0565621
0.253886 0.0565304
0.25569 0.0564986
0.257514 0.0564667
0.259358 0.0564348
0.261222 0.0564028
0.263106 0.0563707
0.265011 0.0563385
0.266937 0.0563062
0.268883 0.0562739
0.27085 0.0562415
0.272839 0.056209
0.27485 0.0561764
0.276882 0.0561437
0.278936 0.0561109
0.281013 0.0560781
0.283113 0.0560452
0.285235 0.0560122
0.28738 0.0559792
0.289548 0.055946
0.291741 0.0559129
0.293956 0.0558796
0.296196 0.0558463
0.298461 0.0558129
0.30075 0.0557794
0.303064 0.0557459
0.305403 0.0557123
0.307767 0.0556787
0.310157 0.055645
0.312573 0.0556112
0.315016 0.0555774
0.317485 0.0555435
0.31998 0.0555095
0.322503 0.0554755
0.325053 0.0554414
0.327632 0.0554073
0.330238 0.0553731
0.332872 0.0553389
0.335535 0.0553046
0.338227 0.0552703
0.340948 0.0552359
0.343699 0.0552014
0.346479 0.0551669
0.34929 0.0551323
0.352132 0.0550977
0.355004 0.0550631
0.357908 0.0550284
