# ccx y+
0.000485708 2.26449
0.00145827 1.44758
0.00243313 1.24006
0.00341029 1.14239
0.00438975 1.09771
0.00537153 1.08244
0.00635563 1.10356
0.00734204 1.12863
0.00833079 1.14063
0.00932187 1.14178
0.0103153 1.13801
0.011311 1.1329
0.0123092 1.12773
0.0133096 1.12272
0.0143125 1.11783
0.0153177 1.11298
0.0163252 1.10814
0.0173352 1.10336
0.0183475 1.09866
0.0193622 1.09409
0.0203793 1.08966
0.0213988 1.08541
0.0224208 1.08133
0.0234451 1.07742
0.0244718 1.07368
0.025501 1.07008
0.0265326 1.06658
0.0275667 1.06321
0.0286031 1.05997
0.0296421 1.05687
0.0306834 1.05388
0.0317273 1.051
0.0327736 1.04823
0.0338223 1.04555
0.0348736 1.04296
0.0359273 1.04045
0.0369835 1.03802
0.0380422 1.03567
0.0391034 1.03338
0.0401671 1.03116
0.0412333 1.02901
0.0423021 1.02691
0.0433733 1.02487
0.0444471 1.02288
0.0455234 1.02094
0.0466023 1.01905
0.0476837 1.0172
0.0487676 1.0154
0.0498542 1.01364
0.0509432 1.01192
0.0520349 1.01023
0.0531291 1.00858
0.0542259 1.00697
0.0553253 1.00537
0.0564273 1.00381
0.0575319 1.00226
0.0586391 1.00075
0.0597489 0.999253
0.0608614 0.997783
0.0619764 0.996339
0.0630941 0.994917
0.0642144 0.99352
0.0653374 0.992145
0.066463 0.990793
0.0675913 0.989461
0.0687222 0.988148
0.0698559 0.986854
0.0709921 0.98558
0.0721311 0.984325
0.0732728 0.983088
0.0744171 0.981869
0.0755642 0.980668
0.0767139 0.979485
0.0778664 0.978318
0.0790216 0.977167
0.0801795 0.976032
0.0813402 0.974913
0.0825035 0.973808
0.0836697 0.972718
0.0848386 0.971642
0.0860102 0.97058
0.0871846 0.969532
0.0883618 0.968496
0.0895418 0.967474
0.0907245 0.966464
0.0919101 0.965466
0.0930984 0.96448
0.0942895 0.963506
0.0954835 0.962543
0.0966803 0.961592
0.0978799 0.960651
0.0990823 0.959721
0.100288 0.958801
0.101496 0.957892
0.102707 0.956992
0.10392 0.956102
0.105137 0.955221
0.106357 0.95435
0.107579 0.953487
0.108804 0.952633
0.110033 0.951787
0.111264 0.95095
0.112498 0.950122
0.113735 0.949302
0.114975 0.94849
0.116217 0.947687
0.117463 0.94689
0.118712 0.946102
0.119963 0.945321
0.121218 0.944547
0.122475 0.943781
0.123736 0.943022
0.124999 0.942269
0.126266 0.941524
0.127535 0.940785
0.128807 0.940052
0.130083 0.939327
0.131361 0.938607
0.132643 0.937894
0.133927 0.937186
0.135215 0.936485
0.136505 0.935789
0.137799 0.9351
0.139096 0.934416
0.140395 0.933738
0.141698 0.933065
0.143004 0.932398
0.144313 0.931735
0.145625 0.931079
0.14694 0.930427
0.148258 0.92978
0.149579 0.929139
0.150904 0.928502
0.152231 0.92787
0.153562 0.927243
0.154896 0.926621
0.156233 0.926003
0.157573 0.92539
0.158916 0.924781
0.160263 0.924177
0.161613 0.923577
0.162965 0.922981
0.164321 0.92239
0.165681 0.921802
0.167043 0.921219
0.168409 0.92064
0.169778 0.920065
0.17115 0.919493
0.172525 0.918926
0.173904 0.918362
0.175286 0.917802
0.176671 0.917246
0.178059 0.916693
0.179451 0.916144
0.180846 0.915599
0.182244 0.915057
0.183646 0.914518
0.18505 0.913983
0.186459 0.913451
0.18787 0.912923
0.189285 0.912398
0.190703 0.911876
0.192124 0.911357
0.193549 0.910841
0.194978 0.910329
0.196409 0.909819
0.197844 0.909313
0.199282 0.908809
0.200724 0.908309
0.202169 0.907811
0.203618 0.907317
0.20507 0.906825
0.206525 0.906336
0.207903 0.905878
0.209207 0.905445
0.210526 0.905011
0.211859 0.904576
0.213207 0.90414
0.214569 0.903702
0.215947 0.903262
0.217339 0.902821
0.218746 0.902378
0.220168 0.901934
0.221606 0.901488
0.22306 0.901041
0.224529 0.900592
0.226015 0.900142
0.227516 0.89969
0.229034 0.899237
0.230569 0.898783
0.23212 0.898326
0.233687 0.897869
0.235272 0.89741
0.236875 0.89695
0.238494 0.896488
0.240131 0.896025
0.241786 0.89556
0.243459 0.895094
0.24515 0.894627
0.24686 0.894158
0.248588 0.893688
0.250335 0.893217
0.252101 0.892744
0.253886 0.892271
0.25569 0.891795
0.257514 0.891319
0.259358 0.890837
0.261222 0.890354
0.263106 0.889869
0.265011 0.889382
0.266937 0.888895
0.268883 0.888406
0.27085 0.887916
0.272839 0.887424
0.27485 0.886932
0.276882 0.886438
0.278936 0.885943
0.281013 0.885447
0.283113 0.88495
0.285235 0.884452
0.28738 0.883953
0.289548 0.883452
0.291741 0.88295
0.293956 0.882448
0.296196 0.881944
0.298461 0.881439
0.30075 0.880933
0.303064 0.880426
0.305403 0.879919
0.307767 0.87941
0.310157 0.8789
0.312573 0.878389
0.315016 0.877877
0.317485 0.877364
0.31998 0.87685
0.322503 0.876335
0.325053 0.87582
0.327632 0.875303
0.330238 0.874785
0.332872 0.874267
0.335535 0.873748
0.338227 0.873227
0.340948 0.872706
0.343699 0.872185
0.346479 0.871662
0.34929 0.871138
0.352132 0.870614
0.355004 0.870089
0.357908 0.869563
0.360843 0.869036
0.36381 0.868509
0.366809 0.86798
0.369841 0.867451
0.372906 0.866922
0.376004 0.866391
0.379136 0.86586
0.382302 0.865328
0.385502 0.864796
0.388737 0.864262
0.392007 0.863729
0.395313 0.863194
0.398654 0.862659
0.402032 0.862123
0.405447 0.861587
0.408899 0.86105
0.412388 0.860512
0.415916 0.859974
0.419481 0.859435
0.423086 0.858896
0.426729 0.858356
0.430412 0.857816
0.434136 0.857275
0.437899 0.856734
0.441704 0.856192
0.44555 0.855649
0.449437 0.855106
0.453367 0.854563
0.45734 0.854019
0.461356 0.853475
0.465415 0.852931
0.469519 0.852385
0.473667 0.85184
0.477861 0.851294
0.4821 0.850748
0.486385 0.850201
0.490716 0.849654
0.495095 0.849106
0.499521 0.848558
0.503995 0.84801
0.508518 0.847461
0.51309 0.846912
0.517712 0.846362
0.522384 0.845812
0.527107 0.845262
0.531881 0.844712
0.536707 0.844161
0.541586 0.843611
0.546518 0.843059
0.551503 0.842508
0.556542 0.841957
0.561636 0.841405
0.566786 0.840853
0.571991 0.840301
0.577253 0.839749
0.582572 0.839196
0.587949 0.838643
0.593385 0.838091
0.59888 0.837538
0.604434 0.836985
0.610048 0.836431
0.615724 0.835878
0.621462 0.835325
0.627261 0.834771
0.633124 0.834218
0.639051 0.833664
0.645042 0.83311
0.651098 0.832556
0.657219 0.832003
0.663408 0.831449
0.669664 0.830895
0.675987 0.830341
0.68238 0.829787
0.688842 0.829233
0.695374 0.828679
0.701977 0.828125
0.708652 0.827571
0.715399 0.827017
0.72222 0.826464
0.729115 0.82591
0.736085 0.825356
0.74313 0.824802
0.750252 0.824249
0.757452 0.823695
0.76473 0.823142
0.772087 0.822589
0.779524 0.822035
0.787042 0.821482
0.794641 0.820929
0.802323 0.820377
0.810089 0.819824
0.817939 0.819271
0.825874 0.818719
0.833896 0.818167
0.842004 0.817614
0.850201 0.817063
0.858487 0.816511
0.866863 0.815959
0.87533 0.815408
0.883889 0.814857
0.892542 0.814306
0.901288 0.813755
0.910129 0.813205
0.919066 0.812655
0.928101 0.812104
0.93826 0.811493
0.949496 0.810826
0.960731 0.810169
0.971966 0.809519
0.983202 0.808879
0.994437 0.808246
1.00567 0.807622
1.01691 0.807006
1.02814 0.806398
1.03938 0.805797
1.05061 0.805204
1.06185 0.804617
1.07308 0.804038
1.08432 0.803466
1.09555 0.802901
1.10679 0.802342
1.11803 0.80179
1.12926 0.801244
1.1405 0.800704
1.15173 0.80017
1.16297 0.799643
1.1742 0.799121
1.18544 0.798605
1.19667 0.798094
1.20791 0.797589
1.21914 0.797089
1.23038 0.796595
1.24161 0.796105
1.25285 0.795622
1.26409 0.795142
1.27532 0.794668
1.28656 0.794199
1.29779 0.793735
1.30903 0.793274
1.32026 0.79282
1.3315 0.792369
1.34273 0.791923
1.35397 0.791481
1.3652 0.791044
1.37644 0.79061
1.38767 0.790181
1.39891 0.789756
1.41014 0.789335
1.42138 0.788918
1.43262 0.788505
1.44385 0.788095
1.45509 0.78769
1.46632 0.787288
1.47756 0.78689
1.48879 0.786495
1.50003 0.786104
1.51126 0.785716
1.5225 0.785332
1.53373 0.78495
1.54497 0.784573
1.5562 0.784197
1.56744 0.783826
1.57867 0.783457
1.58991 0.783092
1.60115 0.782729
1.61238 0.78237
1.62362 0.782012
1.63485 0.781659
1.64609 0.781307
1.65732 0.780959
1.66856 0.780612
1.67979 0.78027
1.69103 0.779929
1.70226 0.779591
1.7135 0.779255
1.72473 0.778923
1.73597 0.778591
1.7472 0.778264
1.75844 0.777936
1.76968 0.777614
1.78091 0.777291
1.79215 0.776974
1.80338 0.776654
1.81462 0.776342
1.82585 0.776026
1.83709 0.775718
1.84832 0.775405
1.85956 0.775102
1.87079 0.774792
1.88203 0.774494
1.89326 0.774187
1.9045 0.77389
1.91573 0.773591
1.92697 0.773285
1.93821 0.773014
1.94944 0.772654
1.96068 0.77249
1.97191 0.771945
1.98315 0.772096
1.99438 0.771345
